period,evidence_class,source_ledger,pat_proxy_vnd,depreciation_vnd,change_ar_vnd,change_inventory_vnd,change_ap_vnd,cfo_vnd,capex_vnd,pre_financing_fcf_vnd,debt_drawdown_vnd,debt_repayment_vnd,net_cash_change_vnd,cash_opening_vnd,cash_closing_vnd
2023-01,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-563711211,0,138696610,-129265768,106361969,-466780084,0,-466780084,0,50000000,-516780084,5000000000,4483219916
2023-02,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-597533745,0,152028421,-206569939,110776720,-432215507,0,-432215507,0,50000000,-482215507,4483219916,4001004409
2023-03,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-655481431,0,160318772,-259886769,87323752,-468589682,0,-468589682,0,50000000,-518589682,4001004409,3482414727
2023-04,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-708276950,0,162043909,-261605681,116352577,-492362601,0,-492362601,0,50000000,-542362601,3482414727,2940052126
2023-05,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-588081656,0,142263988,-149553336,107510501,-473281807,0,-473281807,0,50000000,-523281807,2940052126,2416770319
2023-06,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-624356198,0,147392762,-104338940,108227246,-559182774,0,-559182774,0,50000000,-609182774,2416770319,1807587545
2023-07,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-668144702,0,154433313,-82703775,111785068,-628089172,0,-628089172,0,50000000,-678089172,1807587545,1129498373
2023-08,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-764337357,0,154257989,-75546665,107423989,-735624692,0,-735624692,0,50000000,-785624692,1129498373,343873681
2023-09,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-590665216,0,159657742,-59763989,105584803,-584974166,0,-584974166,0,50000000,-634974166,343873681,-291100485
2023-10,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-690011452,0,135034703,-32395480,97344398,-695306277,0,-695306277,0,50000000,-745306277,-291100485,-1036406762
