period,evidence_class,source_ledger,gross_sales_vnd,invoice_discounts_vnd,returns_vnd,rebates_vnd,voucher_support_vnd,net_revenue_vnd,cogs_vnd,gross_profit_vnd,channel_fee_vnd,trade_spend_vnd,variable_fulfilment_vnd,commercial_variable_costs_vnd,contribution_profit_vnd,controllable_opex_vnd,ebitda_project_proxy_vnd,ebitda_statement_proxy_vnd,depreciation_vnd,ebit_proxy_vnd,finance_cost_vnd,pbt_proxy_vnd,tax_proxy_vnd,pat_proxy_vnd
2023-01,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1059307500,50751595,8004270,0,0,1000551635,505741590,494810045,62412688,24988151,0,87400839,407409206,923360000,-428549955,-515950794,0,-515950794,47760417,-563711211,0,-563711211
2023-02,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1123036000,53907495,8558022,0,0,1060570483,535733665,524836818,66392954,26589692,0,92982646,431854172,981940000,-457103182,-550085828,0,-550085828,47447917,-597533745,0,-597533745
2023-03,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1125357500,54119230,8579299,0,0,1062658971,537278091,525380880,66527941,26678953,0,93206894,432173986,1040520000,-515139120,-608346014,0,-608346014,47135417,-655481431,0,-655481431
2023-04,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1139720000,54551880,8614991,0,0,1076553129,544553249,531999880,67278537,27075376,0,94353913,437645967,1099100000,-567100120,-661454033,0,-661454033,46822917,-708276950,0,-708276950
2023-05,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1046446500,49909235,7915766,0,0,988621499,499217106,489404393,61541786,24852466,0,86394252,403010141,944581380,-455176987,-541571239,0,-541571239,46510417,-588081656,0,-588081656
2023-06,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1063852500,50655335,8005578,0,0,1005191587,507832779,497358808,62430779,25223344,0,87654123,409704685,987862966,-490504158,-578158281,0,-578158281,46197917,-624356198,0,-624356198
2023-07,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1089518000,52521440,8352427,0,0,1028644133,519549086,509095047,64859153,25975179,0,90834332,418260715,1040520000,-531424953,-622259285,0,-622259285,45885417,-668144702,0,-668144702
2023-08,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1109618500,53215765,8396207,0,0,1048006528,546480164,501526364,65528010,26372794,0,91900804,409625560,1128390000,-626863636,-718764440,0,-718764440,45572917,-764337357,0,-764337357
2023-09,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1161407500,55526400,8808562,0,0,1097072538,571438321,525634217,68394781,27506533,0,95901314,429732903,975137702,-449503485,-545404799,0,-545404799,45260417,-590665216,0,-590665216
2023-10,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1039482500,50168550,7958933,0,0,981355017,511619187,469735830,61588448,24558447,0,86146895,383588935,1028652470,-558916640,-645063535,0,-645063535,44947917,-690011452,0,-690011452
2023-11,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1196287000,57177560,9035324,0,0,1130074116,588234366,541839750,70388138,28405224,0,98793362,443046388,1098454426,-556614676,-655408038,0,-655408038,44635417,-700043455,0,-700043455
2023-12,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1224171500,59032820,9344619,0,0,1155794061,602643910,553150151,72545564,28979518,0,101525082,451625069,1176477950,-623327799,-724852881,0,-724852881,44322917,-769175798,0,-769175798
2024-01,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1059661500,50659375,8006945,0,0,1000995180,521682089,479313091,66915543,25063544,0,91979087,387334004,980106939,-500793848,-592772935,0,-592772935,44010417,-636783352,0,-636783352
2024-02,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1094073500,52745925,8340644,0,0,1032986931,538655427,494331504,69731519,25902888,0,95634407,398697097,1006600790,-512269286,-607903693,0,-607903693,43697917,-651601610,0,-651601610
2024-03,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1126190500,54127235,8585276,0,0,1063477989,554083204,509394785,71670646,26691414,0,98362060,411032725,1094424754,-585029969,-683392029,0,-683392029,43385417,-726777446,0,-726777446
2024-04,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1148204500,54854685,8673964,0,0,1084675851,565989664,518686187,72482164,27170628,0,99652792,419033395,1123580544,-604894357,-704547149,0,-704547149,43072917,-747620066,0,-747620066
