budget_cogs,budget_net_sales,budget_opex,budget_trade_spend,budget_units,channel_id,month,sku_id,version
939116,2183990,0,54600,127,MT,2023-01-01,SKU001,FY_BASE
982554,2285010,0,57125,130,GT,2023-01-01,SKU001,FY_BASE
1103874,2567149,0,64179,162,EC,2023-01-01,SKU001,FY_BASE
952322,2214702,0,55368,130,CV,2023-01-01,SKU001,FY_BASE
1325392,3082306,0,77058,177,FS,2023-01-01,SKU001,FY_BASE
1559615,3427901,0,85698,167,MT,2023-01-01,SKU002,FY_BASE
1582263,3477679,0,86942,166,GT,2023-01-01,SKU002,FY_BASE
1467576,3225606,0,80640,170,EC,2023-01-01,SKU002,FY_BASE
1776233,3904008,0,97600,192,CV,2023-01-01,SKU002,FY_BASE
1486742,3267731,0,81693,158,FS,2023-01-01,SKU002,FY_BASE
1684620,3509625,0,87741,147,MT,2023-01-01,SKU003,FY_BASE
1744470,3634312,0,90858,149,GT,2023-01-01,SKU003,FY_BASE
1411377,2940368,0,73509,133,EC,2023-01-01,SKU003,FY_BASE
1869399,3894581,0,97365,165,CV,2023-01-01,SKU003,FY_BASE
1933281,4027669,0,100692,167,FS,2023-01-01,SKU003,FY_BASE
2251326,4458226,0,111456,164,MT,2023-01-01,SKU004,FY_BASE
1782791,3530402,0,88260,127,GT,2023-01-01,SKU004,FY_BASE
1879309,3721533,0,93038,148,EC,2023-01-01,SKU004,FY_BASE
2599044,5146801,0,128670,191,CV,2023-01-01,SKU004,FY_BASE
2056160,4071746,0,101794,148,FS,2023-01-01,SKU004,FY_BASE
2789089,5262432,0,131561,172,MT,2023-01-01,SKU005,FY_BASE
2795411,5274360,0,131859,169,GT,2023-01-01,SKU005,FY_BASE
2591598,4889808,0,122245,173,EC,2023-01-01,SKU005,FY_BASE
2507455,4731048,0,118276,156,CV,2023-01-01,SKU005,FY_BASE
2680816,5058144,0,126454,164,FS,2023-01-01,SKU005,FY_BASE
2938940,6834744,0,170869,202,MT,2023-01-01,SKU006,FY_BASE
3016116,7014223,0,175356,203,GT,2023-01-01,SKU006,FY_BASE
2318454,5391754,0,134794,172,EC,2023-01-01,SKU006,FY_BASE
2817286,6551827,0,163796,195,CV,2023-01-01,SKU006,FY_BASE
2443827,5683319,0,142083,166,FS,2023-01-01,SKU006,FY_BASE
2847008,6257160,0,156429,168,MT,2023-01-01,SKU007,FY_BASE
2997463,6587831,0,164696,173,GT,2023-01-01,SKU007,FY_BASE
2727985,5995571,0,149889,174,EC,2023-01-01,SKU007,FY_BASE
3785607,8320016,0,208000,226,CV,2023-01-01,SKU007,FY_BASE
2697018,5927512,0,148188,158,FS,2023-01-01,SKU007,FY_BASE
3109327,6477765,0,161944,160,MT,2023-01-01,SKU008,FY_BASE
4114247,8571347,0,214284,207,GT,2023-01-01,SKU008,FY_BASE
3570671,7438898,0,185972,198,EC,2023-01-01,SKU008,FY_BASE
4007896,8349784,0,208745,208,CV,2023-01-01,SKU008,FY_BASE
3824006,7966679,0,199167,194,FS,2023-01-01,SKU008,FY_BASE
4402544,8717908,0,217948,198,MT,2023-01-01,SKU009,FY_BASE
4827688,9559778,0,238994,213,GT,2023-01-01,SKU009,FY_BASE
4066014,8051513,0,201288,198,EC,2023-01-01,SKU009,FY_BASE
4540844,8991770,0,224794,207,CV,2023-01-01,SKU009,FY_BASE
4024963,7970224,0,199256,180,FS,2023-01-01,SKU009,FY_BASE
1865416,3519652,0,87991,205,MT,2023-01-01,SKU010,FY_BASE
1738450,3280095,0,82002,187,GT,2023-01-01,SKU010,FY_BASE
1669814,3150592,0,78765,198,EC,2023-01-01,SKU010,FY_BASE
2016272,3804286,0,95107,224,CV,2023-01-01,SKU010,FY_BASE
1991279,3757131,0,93928,216,FS,2023-01-01,SKU010,FY_BASE
1881896,4376503,0,109413,213,MT,2023-01-01,SKU011,FY_BASE
2015953,4688263,0,117207,224,GT,2023-01-01,SKU011,FY_BASE
