channel_id,forecast_cogs,forecast_net_sales,forecast_opex,forecast_trade_spend,forecast_units,forecast_version,sku_id,snapshot_month,target_month
MT,894396,2163190,0,52000,128,LE1,SKU001,2023-01-01,2023-01-01
GT,935766,2263248,0,54405,131,LE1,SKU001,2023-01-01,2023-01-01
EC,1051309,2542700,0,61123,163,LE1,SKU001,2023-01-01,2023-01-01
CV,906973,2193610,0,52731,131,LE1,SKU001,2023-01-01,2023-01-01
FS,1262278,3052951,0,73388,179,LE1,SKU001,2023-01-01,2023-01-01
MT,1485348,3395255,0,81617,169,LE1,SKU002,2023-01-01,2023-01-01
GT,1506917,3444558,0,82802,167,LE1,SKU002,2023-01-01,2023-01-01
EC,1397691,3194886,0,76800,172,LE1,SKU002,2023-01-01,2023-01-01
CV,1691650,3866827,0,92953,194,LE1,SKU002,2023-01-01,2023-01-01
FS,1415944,3236610,0,77803,159,LE1,SKU002,2023-01-01,2023-01-01
MT,1604400,3476200,0,83562,148,LE1,SKU003,2023-01-01,2023-01-01
GT,1661400,3599700,0,86531,151,LE1,SKU003,2023-01-01,2023-01-01
EC,1344168,2912364,0,70009,135,LE1,SKU003,2023-01-01,2023-01-01
CV,1780380,3857490,0,92728,166,LE1,SKU003,2023-01-01,2023-01-01
FS,1841220,3989310,0,95897,169,LE1,SKU003,2023-01-01,2023-01-01
MT,2144120,4415767,0,106148,165,LE1,SKU004,2023-01-01,2023-01-01
GT,1697896,3496780,0,84057,128,LE1,SKU004,2023-01-01,2023-01-01
EC,1789818,3686090,0,88608,149,LE1,SKU004,2023-01-01,2023-01-01
CV,2475280,5097784,0,122543,193,LE1,SKU004,2023-01-01,2023-01-01
FS,1958248,4032967,0,96946,149,LE1,SKU004,2023-01-01,2023-01-01
MT,2656275,5212314,0,125296,174,LE1,SKU005,2023-01-01,2023-01-01
GT,2662296,5224128,0,125580,171,LE1,SKU005,2023-01-01,2023-01-01
EC,2468189,4843238,0,116424,175,LE1,SKU005,2023-01-01,2023-01-01
