channel_id,commission,cost_version,freight,listing_fee,month,payment_fee,rebate,sku_id,trade_spend,writeoff
MT,83200,v1.0.0,24960,0,2023-01-01,37440,0,SKU001,93600,0
GT,54405,v1.0.0,26114,0,2023-01-01,0,0,SKU001,43524,0
EC,207817,v1.0.0,29339,0,2023-01-01,61123,0,SKU001,48898,0
CV,73823,v1.0.0,25311,0,2023-01-01,21092,0,SKU001,42185,0
FS,58711,v1.0.0,35226,0,2023-01-01,0,0,SKU001,58711,0
MT,130587,v1.0.0,39176,0,2023-01-01,58764,0,SKU002,146910,0
GT,82802,v1.0.0,39745,0,2023-01-01,0,0,SKU002,66242,0
EC,261121,v1.0.0,36864,0,2023-01-01,76800,0,SKU002,61440,0
CV,130134,v1.0.0,44617,0,2023-01-01,37181,0,SKU002,74362,0
FS,62242,v1.0.0,37346,0,2023-01-01,0,0,SKU002,62242,0
MT,133700,v1.0.0,40110,0,2023-01-01,60165,0,SKU003,150412,0
GT,86531,v1.0.0,41535,0,2023-01-01,0,0,SKU003,69225,0
EC,238030,v1.0.0,33604,0,2023-01-01,70009,0,SKU003,56007,0
CV,129819,v1.0.0,44510,0,2023-01-01,37091,0,SKU003,74182,0
FS,76718,v1.0.0,46030,0,2023-01-01,0,0,SKU003,76718,0
MT,169837,v1.0.0,50951,0,2023-01-01,76427,0,SKU004,191067,0
GT,84057,v1.0.0,40347,0,2023-01-01,0,0,SKU004,67246,0
EC,301267,v1.0.0,42532,0,2023-01-01,88608,0,SKU004,70886,0
CV,171560,v1.0.0,58821,0,2023-01-01,49017,0,SKU004,98034,0
FS,77557,v1.0.0,46534,0,2023-01-01,0,0,SKU004,77557,0
MT,200474,v1.0.0,60142,0,2023-01-01,90213,0,SKU005,225533,0
GT,125580,v1.0.0,60278,0,2023-01-01,0,0,SKU005,100464,0
EC,395842,v1.0.0,55884,0,2023-01-01,116424,0,SKU005,93139,0
CV,157702,v1.0.0,54069,0,2023-01-01,45058,0,SKU005,90115,0
FS,96346,v1.0.0,57807,0,2023-01-01,0,0,SKU005,96346,0
MT,260371,v1.0.0,78111,0,2023-01-01,117167,0,SKU006,292918,0
GT,167005,v1.0.0,80163,0,2023-01-01,0,0,SKU006,133604,0
EC,436475,v1.0.0,61620,0,2023-01-01,128375,0,SKU006,102700,0
CV,218394,v1.0.0,74878,0,2023-01-01,62398,0,SKU006,124797,0
FS,108254,v1.0.0,64952,0,2023-01-01,0,0,SKU006,108254,0
MT,238368,v1.0.0,71510,0,2023-01-01,107266,0,SKU007,268164,0
GT,156853,v1.0.0,75290,0,2023-01-01,0,0,SKU007,125482,0
EC,485356,v1.0.0,68521,0,2023-01-01,142752,0,SKU007,114201,0
CV,277334,v1.0.0,95086,0,2023-01-01,79238,0,SKU007,158476,0
FS,112905,v1.0.0,67743,0,2023-01-01,0,0,SKU007,112905,0
MT,246772,v1.0.0,74032,0,2023-01-01,111047,0,SKU008,277618,0
GT,204080,v1.0.0,97958,0,2023-01-01,0,0,SKU008,163264,0
EC,602197,v1.0.0,85016,0,2023-01-01,177117,0,SKU008,141693,0
CV,278326,v1.0.0,95426,0,2023-01-01,79522,0,SKU008,159044,0
FS,151746,v1.0.0,91048,0,2023-01-01,0,0,SKU008,151746,0
MT,332111,v1.0.0,99633,0,2023-01-01,149450,0,SKU009,373625,0
GT,227614,v1.0.0,109255,0,2023-01-01,0,0,SKU009,182091,0
EC,651789,v1.0.0,92017,0,2023-01-01,191703,0,SKU009,153362,0
