DateKey,Date,MonthStart,Year,Quarter,MonthNumber,MonthName,YearMonth,FiscalYear,FiscalQuarter,DaysInMonth,IsClosedMonth,IsLatestClosedMonth
2023-01-01,2023-01-01,2023-01-01,2023,Q1,1,Jan,2023-01,2023,Q1,31,true,false
2023-02-01,2023-02-01,2023-02-01,2023,Q1,2,Feb,2023-02,2023,Q1,28,true,false
2023-03-01,2023-03-01,2023-03-01,2023,Q1,3,Mar,2023-03,2023,Q1,31,true,false
2023-04-01,2023-04-01,2023-04-01,2023,Q2,4,Apr,2023-04,2023,Q2,30,true,false
2023-05-01,2023-05-01,2023-05-01,2023,Q2,5,May,2023-05,2023,Q2,31,true,false
2023-06-01,2023-06-01,2023-06-01,2023,Q2,6,Jun,2023-06,2023,Q2,30,true,false
2023-07-01,2023-07-01,2023-07-01,2023,Q3,7,Jul,2023-07,2023,Q3,31,true,false
2023-08-01,2023-08-01,2023-08-01,2023,Q3,8,Aug,2023-08,2023,Q3,31,true,false
2023-09-01,2023-09-01,2023-09-01,2023,Q3,9,Sep,2023-09,2023,Q3,30,true,false
2023-10-01,2023-10-01,2023-10-01,2023,Q4,10,Oct,2023-10,2023,Q4,31,true,false
2023-11-01,2023-11-01,2023-11-01,2023,Q4,11,Nov,2023-11,2023,Q4,30,true,false
2023-12-01,2023-12-01,2023-12-01,2023,Q4,12,Dec,2023-12,2023,Q4,31,true,false
2024-01-01,2024-01-01,2024-01-01,2024,Q1,1,Jan,2024-01,2024,Q1,31,true,false
2024-02-01,2024-02-01,2024-02-01,2024,Q1,2,Feb,2024-02,2024,Q1,29,true,false
2024-03-01,2024-03-01,2024-03-01,2024,Q1,3,Mar,2024-03,2024,Q1,31,true,false
2024-04-01,2024-04-01,2024-04-01,2024,Q2,4,Apr,2024-04,2024,Q2,30,true,false
2024-05-01,2024-05-01,2024-05-01,2024,Q2,5,May,2024-05,2024,Q2,31,true,false
2024-06-01,2024-06-01,2024-06-01,2024,Q2,6,Jun,2024-06,2024,Q2,30,true,false
2024-07-01,2024-07-01,2024-07-01,2024,Q3,7,Jul,2024-07,2024,Q3,31,true,false
2024-08-01,2024-08-01,2024-08-01,2024,Q3,8,Aug,2024-08,2024,Q3,31,true,false
2024-09-01,2024-09-01,2024-09-01,2024,Q3,9,Sep,2024-09,2024,Q3,30,true,false
2024-10-01,2024-10-01,2024-10-01,2024,Q4,10,Oct,2024-10,2024,Q4,31,true,false
2024-11-01,2024-11-01,2024-11-01,2024,Q4,11,Nov,2024-11,2024,Q4,30,true,false
2024-12-01,2024-12-01,2024-12-01,2024,Q4,12,Dec,2024-12,2024,Q4,31,true,false
2025-01-01,2025-01-01,2025-01-01,2025,Q1,1,Jan,2025-01,2025,Q1,31,true,false
2025-02-01,2025-02-01,2025-02-01,2025,Q1,2,Feb,2025-02,2025,Q1,28,true,false
2025-03-01,2025-03-01,2025-03-01,2025,Q1,3,Mar,2025-03,2025,Q1,31,true,false
2025-04-01,2025-04-01,2025-04-01,2025,Q2,4,Apr,2025-04,2025,Q2,30,true,false
2025-05-01,2025-05-01,2025-05-01,2025,Q2,5,May,2025-05,2025,Q2,31,true,false
2025-06-01,2025-06-01,2025-06-01,2025,Q2,6,Jun,2025-06,2025,Q2,30,true,false
2025-07-01,2025-07-01,2025-07-01,2025,Q3,7,Jul,2025-07,2025,Q3,31,true,false
2025-08-01,2025-08-01,2025-08-01,2025,Q3,8,Aug,2025-08,2025,Q3,31,true,false
2025-09-01,2025-09-01,2025-09-01,2025,Q3,9,Sep,2025-09,2025,Q3,30,true,false
2025-10-01,2025-10-01,2025-10-01,2025,Q4,10,Oct,2025-10,2025,Q4,31,true,false
2025-11-01,2025-11-01,2025-11-01,2025,Q4,11,Nov,2025-11,2025,Q4,30,true,false
2025-12-01,2025-12-01,2025-12-01,2025,Q4,12,Dec,2025-12,2025,Q4,31,true,true
