MonthStart,SKUKey,OpeningInventoryVND,ReceiptsVND,COGSFlowVND,ClosingInventoryVND,InventoryValueVND,DIOProxyDays,SlowMovingFlag,EvidenceClass
2023-01-01,SKU001,0.0,456920560.88,318781786.66,446294501.32,446294501.32,42,false,SIMULATED
2023-01-01,SKU002,0.0,344767612.0,240535543.26,336749760.56,336749760.56,42,false,SIMULATED
2023-01-01,SKU003,0.0,273901750.46,191094244.51,267531942.31,267531942.31,42,false,SIMULATED
2023-01-01,SKU004,0.0,429273536.04,299493164.68,419290430.55,419290430.55,42,false,SIMULATED
2023-01-01,SKU005,0.0,382569383.57,266908872.26,373672421.16,373672421.16,42,false,SIMULATED
2023-01-01,SKU006,0.0,283812669.05,198008838.87,277212374.42,277212374.42,42,false,SIMULATED
2023-01-01,SKU007,0.0,466132668.95,325208838.8,455292374.32,455292374.32,42,false,SIMULATED
2023-01-01,SKU008,0.0,426961036.78,297879793.1,417031710.34,417031710.34,42,false,SIMULATED
2023-01-01,SKU009,0.0,448813905.75,313125980.76,438376373.06,438376373.06,42,false,SIMULATED
2023-01-01,SKU010,0.0,369632254.65,257882968.36,361036155.7,361036155.7,42,false,SIMULATED
2023-01-01,SKU011,0.0,171402964.1,119583463.33,167416848.66,167416848.66,42,false,SIMULATED
2023-01-01,SKU012,0.0,254755657.75,177736505.41,248831107.57,248831107.57,42,false,SIMULATED
2023-02-01,SKU001,446294501.32,10033758.44,318368553.32,445715974.65,445715974.65,42,false,SIMULATED
2023-02-01,SKU002,336749760.56,0.0,222156893.94,311019651.52,311019651.52,42,false,SIMULATED
2023-02-01,SKU003,267531942.31,6187068.89,190966752.0,267353452.8,267353452.8,42,false,SIMULATED
2023-02-01,SKU004,419290430.55,9598146.66,299224588.75,418914424.25,418914424.25,42,false,SIMULATED
2023-02-01,SKU005,373672421.16,8473920.36,266613726.64,373259217.3,373259217.3,42,false,SIMULATED
2023-02-01,SKU006,277212374.42,6410943.11,197876733.16,277027426.42,277027426.42,42,false,SIMULATED
2023-02-01,SKU007,455292374.32,10236051.96,324787274.15,454702183.81,454702183.81,42,false,SIMULATED
2023-02-01,SKU008,417031710.34,9267953.77,297418370.31,416385718.43,416385718.43,42,false,SIMULATED
2023-02-01,SKU009,438376373.06,9855740.14,312720078.98,437808110.57,437808110.57,42,false,SIMULATED
2023-02-01,SKU010,361036155.7,8187362.66,257597803.51,360636924.91,360636924.91,42,false,SIMULATED
2023-02-01,SKU011,167416848.66,3848458.82,119487423.82,167282393.35,167282393.35,42,false,SIMULATED
2023-02-01,SKU012,248831107.57,5754584.56,177617924.74,248665094.64,248665094.64,42,false,SIMULATED
2023-03-01,SKU001,445715974.65,59617390.05,352558161.42,493581425.99,493581425.99,42,false,SIMULATED
2023-03-01,SKU002,311019651.52,84627929.33,276033195.94,386446474.32,386446474.32,42,false,SIMULATED
