ValuationCaseKey,CompanyKey,Scenario,ForecastYear,WACC,TerminalGrowth,PVExplicitFCFFVNDBn,PVTerminalVNDBn,EnterpriseValueVNDBn,OutputBoundary,EvidenceClass
VAL0001,MCH,Base,2030,0.1,0.02,26285.158531,62155.768733,88440.927264,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0002,MCH,Base,2030,0.1,0.025,26285.158531,66624.484132,92909.642663,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0003,MCH,Base,2030,0.1,0.03,26285.158531,71731.587445,98016.745977,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0004,MCH,Base,2030,0.1,0.035,26285.158531,77624.398961,103909.557492,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0005,MCH,Base,2030,0.1,0.04,26285.158531,84499.345729,110784.50426,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0006,MCH,Base,2030,0.11,0.02,25600.367938,52805.292367,78405.660305,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0007,MCH,Base,2030,0.11,0.025,25600.367938,56185.561948,81785.929885,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0008,MCH,Base,2030,0.11,0.03,25600.367938,59988.365226,85588.733164,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0009,MCH,Base,2030,0.11,0.035,25600.367938,64298.208941,89898.576879,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0010,MCH,Base,2030,0.11,0.04,25600.367938,69223.744615,94824.112553,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0011,MCH,Base,2030,0.12,0.02,24943.340956,45440.671605,70384.012561,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0012,MCH,Base,2030,0.12,0.025,24943.340956,48066.75789,73010.098846,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0013,MCH,Base,2030,0.12,0.03,24943.340956,50984.631539,75927.972495,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0014,MCH,Base,2030,0.12,0.035,24943.340956,54245.784442,79189.125398,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0015,MCH,Base,2030,0.12,0.04,24943.340956,57914.581457,82857.922413,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0016,MCH,Base,2030,0.13,0.02,24312.637586,39513.905086,63826.542672,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0017,MCH,Base,2030,0.13,0.025,24312.637586,41598.438828,65911.076413,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0018,MCH,Base,2030,0.13,0.03,24312.637586,43891.425943,68204.063529,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0019,MCH,Base,2030,0.13,0.035,24312.637586,46425.780124,70738.41771,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0020,MCH,Base,2030,0.13,0.04,24312.637586,49241.729214,73554.366799,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0021,MCH,Base,2030,0.14,0.02,23706.906844,34660.06335,58366.970194,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0022,MCH,Base,2030,0.14,0.025,23706.906844,36344.311953,60051.218797,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0023,MCH,Base,2030,0.14,0.03,23706.906844,38181.674065,61888.580909,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0024,MCH,Base,2030,0.14,0.035,23706.906844,40194.023045,63900.929889,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
VAL0025,MCH,Base,2030,0.14,0.04,23706.906844,42407.606923,66114.513767,EV_ONLY_NO_EQUITY_VALUE_OR_PRICE_TARGET,ASSUMPTION
