MonthStart,SupplierKey,OpeningAPVND,PurchasesVND,CashPaidVND,ClosingAPVND,OverdueAPVND,DPODays,EvidenceClass
2023-01-01,SUP1,0.0,816913043.48,0.0,925834782.61,138875217.39,34,SIMULATED
2023-01-01,SUP2,0.0,816913043.48,0.0,925834782.61,138875217.39,34,SIMULATED
2023-01-01,SUP3,0.0,816913043.48,0.0,925834782.61,138875217.39,34,SIMULATED
2023-01-01,SUP4,0.0,816913043.48,0.0,925834782.61,138875217.39,34,SIMULATED
2023-02-01,SUP1,925834782.61,811096772.64,817688546.26,919243008.99,137886451.35,34,SIMULATED
2023-02-01,SUP2,925834782.61,811096772.64,817688546.26,919243008.99,137886451.35,34,SIMULATED
2023-02-01,SUP3,925834782.61,811096772.64,817688546.26,919243008.99,137886451.35,34,SIMULATED
2023-02-01,SUP4,925834782.61,811096772.64,817688546.26,919243008.99,137886451.35,34,SIMULATED
2023-03-01,SUP1,919243008.99,855176809.96,805219434.33,969200384.62,145380057.69,34,SIMULATED
2023-03-01,SUP2,919243008.99,855176809.96,805219434.33,969200384.62,145380057.69,34,SIMULATED
2023-03-01,SUP3,919243008.99,855176809.96,805219434.33,969200384.62,145380057.69,34,SIMULATED
2023-03-01,SUP4,919243008.99,855176809.96,805219434.33,969200384.62,145380057.69,34,SIMULATED
2023-04-01,SUP1,969200384.62,874665340.66,852578339.2,991287386.08,148693107.91,34,SIMULATED
2023-04-01,SUP2,969200384.62,874665340.66,852578339.2,991287386.08,148693107.91,34,SIMULATED
2023-04-01,SUP3,969200384.62,874665340.66,852578339.2,991287386.08,148693107.91,34,SIMULATED
2023-04-01,SUP4,969200384.62,874665340.66,852578339.2,991287386.08,148693107.91,34,SIMULATED
2023-05-01,SUP1,991287386.08,868592737.84,875475021.04,984405102.88,147660765.43,34,SIMULATED
2023-05-01,SUP2,991287386.08,868592737.84,875475021.04,984405102.88,147660765.43,34,SIMULATED
2023-05-01,SUP3,991287386.08,868592737.84,875475021.04,984405102.88,147660765.43,34,SIMULATED
2023-05-01,SUP4,991287386.08,868592737.84,875475021.04,984405102.88,147660765.43,34,SIMULATED
2023-06-01,SUP1,984405102.88,870818113.04,868296021.14,986927194.78,148039079.22,34,SIMULATED
2023-06-01,SUP2,984405102.88,870818113.04,868296021.14,986927194.78,148039079.22,34,SIMULATED
2023-06-01,SUP3,984405102.88,870818113.04,868296021.14,986927194.78,148039079.22,34,SIMULATED
2023-06-01,SUP4,984405102.88,870818113.04,868296021.14,986927194.78,148039079.22,34,SIMULATED
2023-07-01,SUP1,986927194.78,872848905.43,870547340.72,989228759.49,148384313.92,34,SIMULATED
2023-07-01,SUP2,986927194.78,872848905.43,870547340.72,989228759.49,148384313.92,34,SIMULATED
2023-07-01,SUP3,986927194.78,872848905.43,870547340.72,989228759.49,148384313.92,34,SIMULATED
2023-07-01,SUP4,986927194.78,872848905.43,870547340.72,989228759.49,148384313.92,34,SIMULATED
2023-08-01,SUP1,989228759.49,901460505.28,869034025.46,1021655239.31,153248285.9,34,SIMULATED
2023-08-01,SUP2,989228759.49,901460505.28,869034025.46,1021655239.31,153248285.9,34,SIMULATED
2023-08-01,SUP3,989228759.49,901460505.28,869034025.46,1021655239.31,153248285.9,34,SIMULATED
2023-08-01,SUP4,989228759.49,901460505.28,869034025.46,1021655239.31,153248285.9,34,SIMULATED
2023-09-01,SUP1,1021655239.31,939563966.77,896380043.74,1064839162.34,159725874.35,34,SIMULATED
2023-09-01,SUP2,1021655239.31,939563966.77,896380043.74,1064839162.34,159725874.35,34,SIMULATED
2023-09-01,SUP3,1021655239.31,939563966.77,896380043.74,1064839162.34,159725874.35,34,SIMULATED
2023-09-01,SUP4,1021655239.31,939563966.77,896380043.74,1064839162.34,159725874.35,34,SIMULATED
2023-10-01,SUP1,1064839162.34,987488035.08,933174091.0,1119153106.42,167872965.96,34,SIMULATED
2023-10-01,SUP2,1064839162.34,987488035.08,933174091.0,1119153106.42,167872965.96,34,SIMULATED
2023-10-01,SUP3,1064839162.34,987488035.08,933174091.0,1119153106.42,167872965.96,34,SIMULATED
2023-10-01,SUP4,1064839162.34,987488035.08,933174091.0,1119153106.42,167872965.96,34,SIMULATED
2023-11-01,SUP1,1119153106.42,1091826624.0,973576223.22,1237403507.2,185610526.08,34,SIMULATED
2023-11-01,SUP2,1119153106.42,1091826624.0,973576223.22,1237403507.2,185610526.08,34,SIMULATED
2023-11-01,SUP3,1119153106.42,1091826624.0,973576223.22,1237403507.2,185610526.08,34,SIMULATED
2023-11-01,SUP4,1119153106.42,1091826624.0,973576223.22,1237403507.2,185610526.08,34,SIMULATED
2023-12-01,SUP1,1237403507.2,1198380763.49,1077619405.4,1358164865.29,203724729.79,34,SIMULATED
2023-12-01,SUP2,1237403507.2,1198380763.49,1077619405.4,1358164865.29,203724729.79,34,SIMULATED
2023-12-01,SUP3,1237403507.2,1198380763.49,1077619405.4,1358164865.29,203724729.79,34,SIMULATED
2023-12-01,SUP4,1237403507.2,1198380763.49,1077619405.4,1358164865.29,203724729.79,34,SIMULATED
2024-01-01,SUP1,1358164865.29,947215287.65,1231869493.6,1073510659.34,161026598.9,34,SIMULATED
2024-01-01,SUP2,1358164865.29,947215287.65,1231869493.6,1073510659.34,161026598.9,34,SIMULATED
2024-01-01,SUP3,1358164865.29,947215287.65,1231869493.6,1073510659.34,161026598.9,34,SIMULATED
2024-01-01,SUP4,1358164865.29,947215287.65,1231869493.6,1073510659.34,161026598.9,34,SIMULATED
2024-02-01,SUP1,1073510659.34,939053393.55,948303540.2,1064260512.69,159639076.9,34,SIMULATED
2024-02-01,SUP2,1073510659.34,939053393.55,948303540.2,1064260512.69,159639076.9,34,SIMULATED
2024-02-01,SUP3,1073510659.34,939053393.55,948303540.2,1064260512.69,159639076.9,34,SIMULATED
2024-02-01,SUP4,1073510659.34,939053393.55,948303540.2,1064260512.69,159639076.9,34,SIMULATED
2024-03-01,SUP1,1064260512.69,988627201.17,932443552.54,1120444161.32,168066624.2,34,SIMULATED
2024-03-01,SUP2,1064260512.69,988627201.17,932443552.54,1120444161.32,168066624.2,34,SIMULATED
2024-03-01,SUP3,1064260512.69,988627201.17,932443552.54,1120444161.32,168066624.2,34,SIMULATED
2024-03-01,SUP4,1064260512.69,988627201.17,932443552.54,1120444161.32,168066624.2,34,SIMULATED
2024-04-01,SUP1,1120444161.32,1009697777.48,985817790.99,1144324147.81,171648622.17,34,SIMULATED
2024-04-01,SUP2,1120444161.32,1009697777.48,985817790.99,1144324147.81,171648622.17,34,SIMULATED
2024-04-01,SUP3,1120444161.32,1009697777.48,985817790.99,1144324147.81,171648622.17,34,SIMULATED
2024-04-01,SUP4,1120444161.32,1009697777.48,985817790.99,1144324147.81,171648622.17,34,SIMULATED
2024-05-01,SUP1,1144324147.81,1001271579.3,1010821270.57,1134774456.54,170216168.48,34,SIMULATED
2024-05-01,SUP2,1144324147.81,1001271579.3,1010821270.57,1134774456.54,170216168.48,34,SIMULATED
2024-05-01,SUP3,1144324147.81,1001271579.3,1010821270.57,1134774456.54,170216168.48,34,SIMULATED
2024-05-01,SUP4,1144324147.81,1001271579.3,1010821270.57,1134774456.54,170216168.48,34,SIMULATED
2024-06-01,SUP1,1134774456.54,1002449038.96,1001114584.68,1136108910.82,170416336.62,34,SIMULATED
2024-06-01,SUP2,1134774456.54,1002449038.96,1001114584.68,1136108910.82,170416336.62,34,SIMULATED
