MonthStart,ChannelKey,CostType,AmountVND,SourceCostBucket,AllocationMethod,EvidenceClass,DatasetVersion
2023-01-01,CH01,COGS,1011840000.0,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
2023-01-01,CH01,CHANNEL_FEE,57120000.0,CHANNEL_FEE,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH01,TRADE_SPEND,40800000.0,TRADE_SPEND,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH01,VARIABLE_FULFILMENT,18854856.0,FULFILMENT,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH02,COGS,773760000.0,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
2023-01-01,CH02,CHANNEL_FEE,56160000.0,CHANNEL_FEE,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH02,TRADE_SPEND,46176000.0,TRADE_SPEND,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH02,VARIABLE_FULFILMENT,14218416.0,FULFILMENT,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH03,COGS,565920000.0,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
2023-01-01,CH03,CHANNEL_FEE,103680000.0,CHANNEL_FEE,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH03,TRADE_SPEND,21600000.0,TRADE_SPEND,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH03,VARIABLE_FULFILMENT,9208248.0,FULFILMENT,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH04,COGS,297600000.0,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
2023-01-01,CH04,CHANNEL_FEE,38400000.0,CHANNEL_FEE,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH04,TRADE_SPEND,12000000.0,TRADE_SPEND,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH04,VARIABLE_FULFILMENT,5301576.0,FULFILMENT,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH05,COGS,357120000.0,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
2023-01-01,CH05,CHANNEL_FEE,11520000.0,CHANNEL_FEE,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH05,TRADE_SPEND,14400000.0,TRADE_SPEND,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-01-01,CH05,VARIABLE_FULFILMENT,6365088.0,FULFILMENT,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH01,COGS,1003502438.4,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
2023-02-01,CH01,CHANNEL_FEE,56649331.2,CHANNEL_FEE,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH01,TRADE_SPEND,40463808.0,TRADE_SPEND,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH01,VARIABLE_FULFILMENT,18442728.0,FULFILMENT,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH02,COGS,767384217.6,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
2023-02-01,CH02,CHANNEL_FEE,55697241.6,CHANNEL_FEE,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH02,TRADE_SPEND,45795509.76,TRADE_SPEND,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH02,VARIABLE_FULFILMENT,14218416.0,FULFILMENT,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH03,COGS,564624360.12,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
2023-02-01,CH03,CHANNEL_FEE,103442630.86,CHANNEL_FEE,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH03,TRADE_SPEND,21550548.1,TRADE_SPEND,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH03,VARIABLE_FULFILMENT,9208248.0,FULFILMENT,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH04,COGS,295147776.0,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
2023-02-01,CH04,CHANNEL_FEE,38083584.0,CHANNEL_FEE,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH04,TRADE_SPEND,11901120.0,TRADE_SPEND,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH04,VARIABLE_FULFILMENT,5301576.0,FULFILMENT,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH05,COGS,354177331.2,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
2023-02-01,CH05,CHANNEL_FEE,11425075.2,CHANNEL_FEE,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH05,TRADE_SPEND,14281344.0,TRADE_SPEND,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-02-01,CH05,VARIABLE_FULFILMENT,6365088.0,FULFILMENT,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-03-01,CH01,COGS,1056846643.2,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
2023-03-01,CH01,CHANNEL_FEE,59660697.6,CHANNEL_FEE,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-03-01,CH01,TRADE_SPEND,42614784.0,TRADE_SPEND,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-03-01,CH01,VARIABLE_FULFILMENT,19473048.0,FULFILMENT,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-03-01,CH02,COGS,808176844.8,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
2023-03-01,CH02,CHANNEL_FEE,58657996.8,CHANNEL_FEE,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-03-01,CH02,TRADE_SPEND,48229908.48,TRADE_SPEND,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-03-01,CH02,VARIABLE_FULFILMENT,14951088.0,FULFILMENT,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-03-01,CH03,COGS,598185227.06,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
2023-03-01,CH03,CHANNEL_FEE,109591186.64,CHANNEL_FEE,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-03-01,CH03,TRADE_SPEND,22831497.22,TRADE_SPEND,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-03-01,CH03,VARIABLE_FULFILMENT,10601748.0,FULFILMENT,NET_REVENUE_SHARE,DERIVED,final_v1.0.0
2023-03-01,CH04,COGS,310837248.0,AUTHORITATIVE_CHANNEL_MONTH_COGS,PRO_RATA_PRELIM_COGS,SIMULATED,final_v1.0.0
