MonthStart,SKUKey,ChannelKey,Component,AmountVND,BaseRevenueVND,CurrentRevenueVND,EvidenceClass
2023-01-01,SKU001,CH01,PRICE,0.0,0.0,177444000.0,DERIVED
2023-01-01,SKU001,CH01,VOLUME,0.0,0.0,177444000.0,DERIVED
2023-01-01,SKU001,CH01,MIX_RESIDUAL,177444000.0,0.0,177444000.0,DERIVED
2023-01-01,SKU001,CH01,NEW_DISCONTINUED,0.0,0.0,177444000.0,DERIVED
2023-01-01,SKU001,CH01,GTN_LEAKAGE,0.0,0.0,177444000.0,DERIVED
2023-01-01,SKU002,CH01,PRICE,0.0,0.0,171720000.0,DERIVED
2023-01-01,SKU002,CH01,VOLUME,0.0,0.0,171720000.0,DERIVED
2023-01-01,SKU002,CH01,MIX_RESIDUAL,171720000.0,0.0,171720000.0,DERIVED
2023-01-01,SKU002,CH01,NEW_DISCONTINUED,0.0,0.0,171720000.0,DERIVED
2023-01-01,SKU002,CH01,GTN_LEAKAGE,0.0,0.0,171720000.0,DERIVED
2023-01-01,SKU003,CH01,PRICE,0.0,0.0,122112000.0,DERIVED
2023-01-01,SKU003,CH01,VOLUME,0.0,0.0,122112000.0,DERIVED
2023-01-01,SKU003,CH01,MIX_RESIDUAL,122112000.0,0.0,122112000.0,DERIVED
2023-01-01,SKU003,CH01,NEW_DISCONTINUED,0.0,0.0,122112000.0,DERIVED
2023-01-01,SKU003,CH01,GTN_LEAKAGE,0.0,0.0,122112000.0,DERIVED
2023-01-01,SKU004,CH01,PRICE,0.0,0.0,160272000.0,DERIVED
2023-01-01,SKU004,CH01,VOLUME,0.0,0.0,160272000.0,DERIVED
2023-01-01,SKU004,CH01,MIX_RESIDUAL,160272000.0,0.0,160272000.0,DERIVED
2023-01-01,SKU004,CH01,NEW_DISCONTINUED,0.0,0.0,160272000.0,DERIVED
2023-01-01,SKU004,CH01,GTN_LEAKAGE,0.0,0.0,160272000.0,DERIVED
2023-01-01,SKU005,CH01,PRICE,0.0,0.0,128790000.0,DERIVED
2023-01-01,SKU005,CH01,VOLUME,0.0,0.0,128790000.0,DERIVED
2023-01-01,SKU005,CH01,MIX_RESIDUAL,128790000.0,0.0,128790000.0,DERIVED
2023-01-01,SKU005,CH01,NEW_DISCONTINUED,0.0,0.0,128790000.0,DERIVED
2023-01-01,SKU005,CH01,GTN_LEAKAGE,0.0,0.0,128790000.0,DERIVED
2023-01-01,SKU006,CH01,PRICE,0.0,0.0,114480000.0,DERIVED
2023-01-01,SKU006,CH01,VOLUME,0.0,0.0,114480000.0,DERIVED
2023-01-01,SKU006,CH01,MIX_RESIDUAL,114480000.0,0.0,114480000.0,DERIVED
2023-01-01,SKU006,CH01,NEW_DISCONTINUED,0.0,0.0,114480000.0,DERIVED
2023-01-01,SKU006,CH01,GTN_LEAKAGE,0.0,0.0,114480000.0,DERIVED
2023-01-01,SKU007,CH01,PRICE,0.0,0.0,131652000.0,DERIVED
2023-01-01,SKU007,CH01,VOLUME,0.0,0.0,131652000.0,DERIVED
2023-01-01,SKU007,CH01,MIX_RESIDUAL,131652000.0,0.0,131652000.0,DERIVED
2023-01-01,SKU007,CH01,NEW_DISCONTINUED,0.0,0.0,131652000.0,DERIVED
2023-01-01,SKU007,CH01,GTN_LEAKAGE,0.0,0.0,131652000.0,DERIVED
2023-01-01,SKU008,CH01,PRICE,0.0,0.0,119250000.0,DERIVED
2023-01-01,SKU008,CH01,VOLUME,0.0,0.0,119250000.0,DERIVED
2023-01-01,SKU008,CH01,MIX_RESIDUAL,119250000.0,0.0,119250000.0,DERIVED
2023-01-01,SKU008,CH01,NEW_DISCONTINUED,0.0,0.0,119250000.0,DERIVED
2023-01-01,SKU008,CH01,GTN_LEAKAGE,0.0,0.0,119250000.0,DERIVED
2023-01-01,SKU009,CH01,PRICE,0.0,0.0,120204000.0,DERIVED
2023-01-01,SKU009,CH01,VOLUME,0.0,0.0,120204000.0,DERIVED
2023-01-01,SKU009,CH01,MIX_RESIDUAL,120204000.0,0.0,120204000.0,DERIVED
2023-01-01,SKU009,CH01,NEW_DISCONTINUED,0.0,0.0,120204000.0,DERIVED
2023-01-01,SKU009,CH01,GTN_LEAKAGE,0.0,0.0,120204000.0,DERIVED
2023-01-01,SKU010,CH01,PRICE,0.0,0.0,114480000.0,DERIVED
2023-01-01,SKU010,CH01,VOLUME,0.0,0.0,114480000.0,DERIVED
2023-01-01,SKU010,CH01,MIX_RESIDUAL,114480000.0,0.0,114480000.0,DERIVED
2023-01-01,SKU010,CH01,NEW_DISCONTINUED,0.0,0.0,114480000.0,DERIVED
2023-01-01,SKU010,CH01,GTN_LEAKAGE,0.0,0.0,114480000.0,DERIVED
2023-01-01,SKU011,CH01,PRICE,0.0,0.0,100170000.0,DERIVED
2023-01-01,SKU011,CH01,VOLUME,0.0,0.0,100170000.0,DERIVED
2023-01-01,SKU011,CH01,MIX_RESIDUAL,100170000.0,0.0,100170000.0,DERIVED
2023-01-01,SKU011,CH01,NEW_DISCONTINUED,0.0,0.0,100170000.0,DERIVED
2023-01-01,SKU011,CH01,GTN_LEAKAGE,0.0,0.0,100170000.0,DERIVED
2023-01-01,SKU012,CH01,PRICE,0.0,0.0,110664000.0,DERIVED
2023-01-01,SKU012,CH01,VOLUME,0.0,0.0,110664000.0,DERIVED
2023-01-01,SKU012,CH01,MIX_RESIDUAL,110664000.0,0.0,110664000.0,DERIVED
