brand,category,launch_month,list_price,pack_size,sku_id,standard_cogs,status,supplier_id
VN1,Dairy,2023-01-01,18000,180,SKU001,7740,active,SUP1
VN2,Beverages,2023-02-01,21500,250,SKU002,9782,active,SUP2
VN3,Condiments,2023-03-01,25000,500,SKU003,12000,active,SUP3
VN4,Convenience Foods,2023-04-01,28500,1000,SKU004,14392,active,SUP4
VN5,Dairy,2023-05-01,32000,180,SKU005,16960,active,SUP1
VN6,Beverages,2023-06-01,35500,250,SKU006,15265,active,SUP2
VN1,Condiments,2023-07-01,39000,500,SKU007,17745,active,SUP3
VN2,Convenience Foods,2023-08-01,42500,1000,SKU008,20400,active,SUP4
VN3,Dairy,2023-09-01,46000,180,SKU009,23230,active,SUP1
VN4,Beverages,2023-10-01,18000,250,SKU010,9540,active,SUP2
VN5,Condiments,2023-11-01,21500,500,SKU011,9245,active,SUP3
VN6,Convenience Foods,2023-12-01,25000,1000,SKU012,11375,active,SUP4
VN1,Dairy,2023-01-01,28500,180,SKU013,13680,active,SUP1
VN2,Beverages,2023-02-01,32000,250,SKU014,16160,active,SUP2
VN3,Condiments,2023-03-01,35500,500,SKU015,18815,active,SUP3
VN4,Convenience Foods,2023-04-01,39000,1000,SKU016,16770,active,SUP4
VN5,Dairy,2023-05-01,42500,180,SKU017,19338,active,SUP1
VN6,Beverages,2023-06-01,46000,250,SKU018,22080,active,SUP2
VN1,Condiments,2023-07-01,18000,500,SKU019,9090,active,SUP3
VN2,Convenience Foods,2023-08-01,21500,1000,SKU020,11395,active,SUP4
VN3,Dairy,2023-09-01,25000,180,SKU021,10750,active,SUP1
VN4,Beverages,2023-10-01,28500,250,SKU022,12968,active,SUP2
VN5,Condiments,2023-11-01,32000,500,SKU023,15360,active,SUP3
VN6,Convenience Foods,2023-12-01,35500,1000,SKU024,17928,active,SUP4
VN1,Dairy,2023-01-01,39000,180,SKU025,20670,active,SUP1
VN2,Beverages,2023-02-01,42500,250,SKU026,18275,active,SUP2
VN3,Condiments,2023-03-01,46000,500,SKU027,20930,active,SUP3
VN4,Convenience Foods,2023-04-01,18000,1000,SKU028,8640,active,SUP4
VN5,Dairy,2023-05-01,21500,180,SKU029,10858,active,SUP1
VN6,Beverages,2023-06-01,25000,250,SKU030,13250,active,SUP2
VN1,Condiments,2023-07-01,28500,500,SKU031,12255,active,SUP3
VN2,Convenience Foods,2023-08-01,32000,1000,SKU032,14560,active,SUP4
VN3,Dairy,2023-09-01,35500,180,SKU033,17040,active,SUP1
VN4,Beverages,2023-10-01,39000,250,SKU034,19695,active,SUP2
VN5,Condiments,2023-11-01,42500,500,SKU035,22525,active,SUP3
VN6,Convenience Foods,2023-12-01,46000,1000,SKU036,19780,active,SUP4
