closing_units,days_on_hand,expiry_writeoff,inventory_value,month,opening_units,receipts_units,sales_units,sku_id,stockout_flag,unit_cost,warehouse_id
1385,120.1,0,10719900,2023-01-01,1500,231,346,SKU001,False,7740,WH_N
1603,139.0,0,12407220,2023-01-01,1500,449,346,SKU001,False,7740,WH_S
1351,99.8,0,13215482,2023-01-01,1500,257,406,SKU002,False,9782,WH_N
1394,103.0,0,13636108,2023-01-01,1500,300,406,SKU002,False,9782,WH_S
1488,123.3,0,17856000,2023-01-01,1500,350,362,SKU003,False,12000,WH_N
1378,114.2,0,16536000,2023-01-01,1500,240,362,SKU003,False,12000,WH_S
1527,123.8,0,21976584,2023-01-01,1500,397,370,SKU004,False,14392,WH_N
1418,115.0,0,20407856,2023-01-01,1500,288,370,SKU004,False,14392,WH_S
1519,114.8,0,25762240,2023-01-01,1500,416,397,SKU005,False,16960,WH_N
1464,110.6,0,24829440,2023-01-01,1500,361,397,SKU005,False,16960,WH_S
1415,95.2,0,21599975,2023-01-01,1500,361,446,SKU006,False,15265,WH_N
1498,100.8,0,22866970,2023-01-01,1500,444,446,SKU006,False,15265,WH_S
1517,106.3,0,26919165,2023-01-01,1500,445,428,SKU007,False,17745,WH_N
1483,103.9,0,26315835,2023-01-01,1500,411,428,SKU007,False,17745,WH_S
1395,91.0,0,28458000,2023-01-01,1500,355,460,SKU008,False,20400,WH_N
1479,96.5,0,30171600,2023-01-01,1500,439,460,SKU008,False,20400,WH_S
1419,89.8,0,32963370,2023-01-01,1500,393,474,SKU009,False,23230,WH_N
1256,79.5,0,29176880,2023-01-01,1500,230,474,SKU009,False,23230,WH_S
1304,79.8,0,12440160,2023-01-01,1500,294,490,SKU010,False,9540,WH_N
1425,87.2,0,13594500,2023-01-01,1500,415,490,SKU010,False,9540,WH_S
1422,84.5,0,13146390,2023-01-01,1500,427,505,SKU011,False,9245,WH_N
1327,78.8,0,12268115,2023-01-01,1500,332,505,SKU011,False,9245,WH_S
1167,60.9,0,13274625,2023-01-01,1500,242,575,SKU012,False,11375,WH_N
1177,61.4,0,13388375,2023-01-01,1500,252,575,SKU012,False,11375,WH_S
1250,64.5,0,17100000,2023-01-01,1500,331,581,SKU013,False,13680,WH_N
1239,64.0,0,16949520,2023-01-01,1500,320,581,SKU013,False,13680,WH_S
1132,53.1,0,18293120,2023-01-01,1500,272,640,SKU014,False,16160,WH_N
1230,57.7,0,19876800,2023-01-01,1500,370,640,SKU014,False,16160,WH_S
1158,58.0,0,21787770,2023-01-01,1500,257,599,SKU015,False,18815,WH_N
