control_id,control_name,status,evidence_class,source_file
CTRL-01,Synthetic ledger manifest present,PASS,SIMULATED,manifest.json
CTRL-02,Sales fact schema stable,PASS,SIMULATED,sales_fact.csv
CTRL-03,Budget and forecast sources separate,PASS,SIMULATED,budget.csv | forecast.csv
CTRL-04,Refresh uses DataRoot parameter,PASS,CONTROL,Power Query parameter
CTRL-05,True real-time requires DirectQuery,OPEN,ARCHITECTURE,DirectQuery-compatible source
CTRL-06,OPEX actual/budget/forecast bridge present,PASS,SIMULATED,opex_headcount_planning_synthetic.csv
CTRL-07,CAPEX commitment/cash/payback bridge present,PASS,SIMULATED,capex_fixed_asset_planning_synthetic.csv
CTRL-08,Peer benchmark rows are approved reported data,PASS,PUBLIC_REPORTED,peer_benchmark_approved_2016_2025.csv
CTRL-09,Unapproved peer candidates remain in review queue,PASS,CONTROL,peer_extraction_queue.csv
CTRL-10,Scenario selector is disconnected; base case and driver multipliers are editable,PASS,CONTROL,scenario_selector.csv
