attributed_net_sales,cac,campaign_id,channel_id,clicks,impressions,month,orders,roas,spend
131795448,25018.12,CAMP_202301_MT,MT,274573,2745738,2023-01-01,1317,4.0,32948862
158775328,25011.87,CAMP_202301_GT,GT,330781,3307819,2023-01-01,1587,4.0,39693832
137943564,25007.9,CAMP_202301_EC,EC,287382,2873824,2023-01-01,1379,4.0,34485891
152212760,25002.1,CAMP_202301_CV,CV,317109,3171099,2023-01-01,1522,4.0,38053190
147211384,25001.93,CAMP_202301_FS,FS,306690,3066903,2023-01-01,1472,4.0,36802846
140063528,25011.34,CAMP_202302_MT,MT,291799,2917990,2023-02-01,1400,4.0,35015882
120502256,25000.47,CAMP_202302_GT,GT,251046,2510463,2023-02-01,1205,4.0,30125564
124866052,25013.23,CAMP_202302_EC,EC,260137,2601376,2023-02-01,1248,4.0,31216513
171115416,25002.25,CAMP_202302_CV,CV,356490,3564904,2023-02-01,1711,4.0,42778854
157400928,25000.15,CAMP_202302_FS,FS,327918,3279186,2023-02-01,1574,4.0,39350232
147493344,25015.83,CAMP_202303_MT,MT,307277,3072778,2023-03-01,1474,4.0,36873336
131154108,25010.32,CAMP_202303_GT,GT,273237,2732377,2023-03-01,1311,4.0,32788527
157662044,25009.84,CAMP_202303_EC,EC,328462,3284625,2023-03-01,1576,4.0,39415511
150449088,25008.16,CAMP_202303_CV,CV,313435,3134356,2023-03-01,1504,4.0,37612272
124863932,25012.81,CAMP_202303_FS,FS,260133,2601331,2023-03-01,1248,4.0,31215983
123454668,25011.08,CAMP_202304_MT,MT,257197,2571972,2023-04-01,1234,4.0,30863667
142314468,25002.54,CAMP_202304_GT,GT,296488,2964884,2023-04-01,1423,4.0,35578617
142094872,25016.7,CAMP_202304_EC,EC,296030,2960309,2023-04-01,1420,4.0,35523718
125776448,25015.2,CAMP_202304_CV,CV,262034,2620342,2023-04-01,1257,4.0,31444112
154604496,25000.73,CAMP_202304_FS,FS,322092,3220927,2023-04-01,1546,4.0,38651124
144299300,25017.22,CAMP_202305_MT,MT,300623,3006235,2023-05-01,1442,4.0,36074825
