fiscal_year,period,grain,scenario,evidence_class,revenue_vnd,volume_effect_vnd,price_effect_vnd,mix_effect_vnd,cogs_vnd,gross_profit_vnd,gross_margin_pct,opex_vnd,ebitda_proxy_vnd,ebitda_margin_pct,depreciation_vnd,ebit_vnd,finance_cost_vnd,pbt_vnd,tax_vnd,pat_vnd,dso_days,dio_days,dpo_days,ccc_days,ar_closing_vnd,inventory_closing_vnd,ap_closing_vnd,cfo_vnd,capex_vnd,pre_financing_fcf_vnd,debt_drawdown_vnd,debt_repayment_vnd,debt_closing_vnd,cash_opening_vnd,cash_closing_vnd,headcount_fte,initiative_stage_gate
FY2026,2026-01,MONTH,BASE,SIMULATED/DERIVED,1059704713.68,377156382.63,314296985.53,62859397.11,551663455.85,508041257.83,47.94,1211994077.7,-703952819.87,-66.43,5717409.53,-709670229.4,42742238.73,-752412468.13,0,-752412468.13,38,45,35,48,110325422.25,68013302.78,52899235.49,4864066659.86,37089664.98,4826976994.89,33930004752.11,0,40130004752.11,-30756981747,8000000000,104,monthly review
FY2026,2026-02,MONTH,BASE,SIMULATED/DERIVED,1087310547.02,31791141.41,26492617.84,5298523.57,566034562.47,521275984.55,47.94,1243567124.5,-722291139.95,-66.43,5866350.88,-728157490.83,283859557.87,-1012017048.7,0,-1012017048.7,38,45,35,48,113199454.21,69785083.04,54277286.81,-1009418458.73,38055869.15,-1047474327.88,1047474327.88,0,41177479079.99,8000000000,8000000000,104,monthly review
FY2026,2026-03,MONTH,BASE,SIMULATED/DERIVED,1127628752.6,32619316.41,27182763.68,5436552.74,587023504.33,540605248.27,47.94,1289679428.95,-749074180.68,-66.43,6083879.11,-755158059.79,302069311.99,-1057227371.78,0,-1057227371.78,38,45,35,48,117396966.02,72372760.81,56289925.07,-1055916043.99,39467006.34,-1095383050.33,1095383050.33,0,42272862130.32,8000000000,8000000000,104,monthly review
FY2026,2026-04,MONTH,BASE,SIMULATED/DERIVED,1095604866.82,33828862.58,28190718.82,5638143.76,570352438.07,525252428.75,47.94,1253053414.73,-727800985.98,-66.43,5911101.1,-733712087.08,301298046.63,-1035010133.71,0,-1035010133.71,38,45,35,48,114062972.44,70317423.87,54691329.68,-1025308297.48,38346170.34,-1063654467.82,1063654467.82,0,43336516598.14,8000000000,8000000000,104,monthly review
FY2026,2026-05,MONTH,BASE,SIMULATED/DERIVED,1045193218.28,32868146,27390121.67,5478024.33,544109029.04,501084189.24,47.94,1195397146.25,-694312957.02,-66.43,5639115.87,-699952072.88,294666858.42,-994618931.3,0,-994618931.3,38,45,35,48,108814636.42,67081935.09,52174838.4,-983012481.91,36581762.64,-1019594244.55,1019594244.55,0,44356110842.69,8000000000,8000000000,104,monthly review
FY2026,2026-06,MONTH,BASE,SIMULATED/DERIVED,1078469425.16,31355796.55,26129830.46,5225966.09,561432031.43,517037393.73,47.94,1233455451.69,-716418057.96,-66.43,5818650.5,-722236708.46,311201733.45,-1033438441.92,0,-1033438441.92,38,45,35,48,112279008.65,69217647.71,53835948.22,-1031558766.44,37746429.88,-1069305196.32,1069305196.32,0,45425416039.01,8000000000,8000000000,104,monthly review
FY2026,2026-07,MONTH,BASE,SIMULATED/DERIVED,1087351361.26,32354082.75,26961735.63,5392347.13,566055809.64,521295551.62,47.94,1243613804.12,-722318252.5,-66.43,5866571.08,-728184823.58,321328706.78,-1049513530.36,0,-1049513530.36,38,45,35,48,113203703.36,69787702.56,54279324.21,-1044698332.85,38057297.64,-1082755630.49,1082755630.49,0,46508171669.51,8000000000,8000000000,104,monthly review
FY2026,2026-08,MONTH,BASE,SIMULATED/DERIVED,1120727449.82,32620540.84,27183784.03,5436756.81,583430808.65,537296641.17,47.94,1281786345.16,-744489703.99,-66.43,6046644.61,-750536348.61,339086099.06,-1089622447.67,0,-1089622447.67,38,45,35,48,116678474.23,71929825.72,55945420.01,-1087526601.29,39225460.74,-1126752062.04,1126752062.04,0,47634923731.54,8000000000,8000000000,104,monthly review
FY2026,2026-09,MONTH,BASE,SIMULATED/DERIVED,1172701197.04,33621823.49,28018186.25,5603637.25,610487418.52,562213778.52,47.94,1341229200.34,-779015421.81,-66.43,6327057.82,-785342479.63,363407221.12,-1148749700.75,0,-1148749700.75,38,45,35,48,122089439.69,75265572.15,58539889.45,-1148574885.37,41044541.9,-1189619427.27,1189619427.27,0,48824543158.81,8000000000,8000000000,104,monthly review
FY2026,2026-10,MONTH,BASE,SIMULATED/DERIVED,1046992494.08,35181035.91,29317529.93,5863505.99,545045700.07,501946794.01,47.94,1197454994.62,-695508200.61,-66.43,5648823.47,-701157024.08,332554222.62,-1033711246.71,0,-1033711246.71,38,45,35,48,109001958.29,67197415.08,52264656.17,-1013182018.04,36644737.29,-1049826755.33,1049826755.33,0,49874369914.14,8000000000,8000000000,104,monthly review
FY2026,2026-11,MONTH,BASE,SIMULATED/DERIVED,1198414478.82,31409774.82,26174812.35,5234962.47,623873296.4,574541182.42,47.94,1370637718.42,-796096536,-66.43,6465788.32,-802562324.31,388834847.45,-1191397171.76,0,-1191397171.76,38,45,35,48,124766438.89,76915885.86,59823466.78,-1202855524.22,41944506.76,-1244800030.98,1244800030.98,0,51119169945.12,8000000000,8000000000,104,monthly review
FY2026,2026-12,MONTH,BASE,SIMULATED/DERIVED,1206093681.68,35952434.36,29960361.97,5992072.39,627870953.04,578222728.64,47.94,1379420493.72,-801197765.08,-66.43,6507219.81,-807704984.89,401093427.71,-1208798412.6,0,-1208798412.6,38,45,35,48,125565917.54,77408747.64,60206803.72,-1203200196.28,42213278.86,-1245413475.14,1245413475.14,0,52364583420.26,8000000000,8000000000,104,monthly review
FY2027,FY2027-Q1,QUARTER,BASE,SIMULATED/DERIVED,3471122654.1,36182810.45,30152342.04,6030468.41,1789649200.74,1681473453.36,48.44,3932502662.7,-2251029209.34,-64.85,17782252.06,-2268811461.4,1115533091.15,-3384344552.55,0,-3384344552.55,38,45,35,48,361377153.03,220641682.28,171610197.33,-3634203077.01,121489292.89,-3755692369.9,3755692369.9,0,56120275790.17,8000000000,8000000000,108.16,stage-gated
FY2027,FY2027-Q2,QUARTER,BASE,SIMULATED/DERIVED,3412423560.88,104133679.62,86778066.35,17355613.27,1759384990.65,1653038570.23,48.44,3866001313.31,-2212962743.08,-64.85,17481541.84,-2230444284.92,1175323915.51,-3405768200.43,0,-3405768200.43,38,45,35,48,355266014.56,216910478.3,168708149.79,-3381346363.68,119434824.63,-3500781188.31,3500781188.31,0,59621056978.48,8000000000,8000000000,108.16,stage-gated
FY2027,FY2027-Q3,QUARTER,BASE,SIMULATED/DERIVED,3583626808.61,102372706.83,85310589.02,17062117.8,1847654344.97,1735972463.63,48.44,4059960817.1,-2323988353.46,-64.85,18358600.82,-2342346954.28,1311285602.14,-3653632556.42,0,-3653632556.42,38,45,35,48,373089914.32,227793001.44,177172334.45,-3655516193.84,125426938.3,-3780943132.14,3780943132.14,0,63402000110.62,8000000000,8000000000,108.16,stage-gated
