period,standard_cogs_vnd,material_price_variance_vnd,usage_yield_variance_vnd,conversion_variance_vnd,actual_cogs_vnd,bridge_residual_vnd,status,evidence_class
2023-01,505741590,0,1658832.41,-1658832.41,505741590,0,PASS,DERIVED
2023-02,535733665,0,1757206.41,-1757206.41,535733665,0,PASS,DERIVED
2023-03,537278091,0,1762272.15,-1762272.15,537278091,0,PASS,DERIVED
2023-04,544553249,0,1786134.66,-1786134.66,544553249,0,PASS,DERIVED
2023-05,499217106,0,1637432.07,-1637432.07,499217106,0,PASS,DERIVED
2023-06,507832779,0,4997074.56,-4997074.56,507832779,0,PASS,DERIVED
2023-07,519549086,0,1704121,-1704121,519549086,0,PASS,DERIVED
2023-08,530025319,13492972.9,1738483.01,1223389.09,546480164,0,PASS,DERIVED
2023-09,554369789,13996196.24,1818332.91,1254002.85,571438321,0,PASS,DERIVED
2023-10,496419436,12463795.82,1628255.75,1107699.43,511619187,0,PASS,DERIVED
2023-11,570545784,14504637.24,1871390.17,1312554.59,588234366,0,PASS,DERIVED
2023-12,584302234,15040174.32,5749533.97,-2448032.29,602643910,0,PASS,DERIVED
2024-01,506264088,12642760.82,1660546.17,1114694.01,521682089,0,PASS,DERIVED
2024-02,522253924,13449232.46,1712992.87,1239277.67,538655427,0,PASS,DERIVED
2024-03,537231440,13818446.48,1762119.08,1271198.44,554083204,0,PASS,DERIVED
2024-04,548945470,13976239.08,1800541.15,1267413.77,565989664,0,PASS,DERIVED
2024-05,488939233,12454501.12,1603720.67,1130194.21,504127649,0,PASS,DERIVED
2024-06,511369128,13478696.7,5031872.24,-2073133.94,527806563,0,PASS,DERIVED
2024-07,518837251,12988491.68,1701786.18,1149346.14,534676875,0,PASS,DERIVED
2024-08,543118426,13557246.14,1781428.43,1194552.43,559651653,0,PASS,DERIVED
2024-09,556383186,14727648.54,1824936.87,1407961.59,574343733,0,PASS,DERIVED
2024-10,493807839,12489521.68,1619689.73,1121912.59,509038963,0,PASS,DERIVED
2024-11,573417109,13966654.1,1880808.09,1185042.81,590449614,0,PASS,DERIVED
2024-12,588513166,15040504.78,5790969.53,-2489395.31,606855245,0,PASS,DERIVED
2025-01,505847982,13028735.64,1659181.39,1200784.97,521736684,0,PASS,DERIVED
2025-02,518566881,12837610.04,1700899.38,1117112.58,534222503,0,PASS,DERIVED
2025-03,538854434,13775380.08,1767442.53,1256421.39,555653678,0,PASS,DERIVED
2025-04,523197580,13437805.76,1716088.04,1233674.2,539585148,0,PASS,DERIVED
2025-05,498265623,12528915.3,1634311.22,1115938.48,513544788,0,PASS,DERIVED
2025-06,514580857,13437666.36,5063475.65,-2113744.01,530968255,0,PASS,DERIVED
2025-07,518397762,13224837,1700344.66,1202668.34,534525612,0,PASS,DERIVED
2025-08,534165439,21831923.54,1752062.61,3040310.85,560789736,0,PASS,DERIVED
2025-09,559113398,23007022.08,1833891.95,3216429.97,587170742,0,PASS,DERIVED
2025-10,499914659,20452386.7,1639720.05,2849828.25,524856594,0,PASS,DERIVED
2025-11,572371343,23461151.2,1877378,3272630.8,600982503,0,PASS,DERIVED
2025-12,574910575,23459999.92,5657120.04,-507363.96,603520331,0,PASS,DERIVED
