period,sku,category,inventory_value_vnd,dio_proxy_days,slow_moving_flag,reserve_rate,reserve_vnd,evidence_class,policy
2023-01,SKU001,Dairy,23127120,129.55,true,0.15,3469068,SIMULATED/DERIVED,slow_moving_15pct
2023-01,SKU002,Beverages,26851590,101.4,false,0.08,2148127.2,SIMULATED/DERIVED,aging_over_90d_8pct
2023-01,SKU003,Condiments,34392000,118.75,true,0.15,5158800,SIMULATED/DERIVED,slow_moving_15pct
2023-01,SKU004,Convenience Foods,42384440,119.4,true,0.15,6357666,SIMULATED/DERIVED,slow_moving_15pct
2023-01,SKU005,Dairy,50591680,112.7,false,0.08,4047334.4,SIMULATED/DERIVED,aging_over_90d_8pct
2023-01,SKU006,Beverages,44466945,98,false,0.08,3557355.6,SIMULATED/DERIVED,aging_over_90d_8pct
2023-01,SKU007,Condiments,53235000,105.1,false,0.08,4258800,SIMULATED/DERIVED,aging_over_90d_8pct
2023-01,SKU008,Convenience Foods,58629600,93.75,false,0.08,4690368,SIMULATED/DERIVED,aging_over_90d_8pct
2023-01,SKU009,Dairy,62140250,84.65,false,0.01,621402.5,SIMULATED/DERIVED,normal_1pct
2023-01,SKU010,Beverages,26034660,83.5,false,0.01,260346.6,SIMULATED/DERIVED,normal_1pct
2023-01,SKU011,Condiments,25414505,81.65,false,0.01,254145.05,SIMULATED/DERIVED,normal_1pct
2023-01,SKU012,Convenience Foods,26663000,61.15,false,0.01,266630,SIMULATED/DERIVED,normal_1pct
2023-01,SKU013,Dairy,34049520,64.25,false,0.01,340495.2,SIMULATED/DERIVED,normal_1pct
2023-01,SKU014,Beverages,38169920,55.4,false,0.01,381699.2,SIMULATED/DERIVED,normal_1pct
2023-01,SKU015,Condiments,43838950,58.35,false,0.01,438389.5,SIMULATED/DERIVED,normal_1pct
2023-01,SKU016,Convenience Foods,41975310,59.9,false,0.01,419753.1,SIMULATED/DERIVED,normal_1pct
2023-01,SKU017,Dairy,59328984,149.4,true,0.15,8899347.6,SIMULATED/DERIVED,slow_moving_15pct
2023-01,SKU018,Beverages,66416640,132.7,true,0.15,9962496,SIMULATED/DERIVED,slow_moving_15pct
2023-01,SKU019,Condiments,25979220,123.2,true,0.15,3896883,SIMULATED/DERIVED,slow_moving_15pct
2023-01,SKU020,Convenience Foods,31176720,111.8,false,0.08,2494137.6,SIMULATED/DERIVED,aging_over_90d_8pct
2023-01,SKU021,Dairy,32647750,109.5,false,0.08,2611820,SIMULATED/DERIVED,aging_over_90d_8pct
2023-01,SKU022,Beverages,34144744,89.95,false,0.01,341447.44,SIMULATED/DERIVED,normal_1pct
2023-01,SKU023,Condiments,44712960,107.55,false,0.08,3577036.8,SIMULATED/DERIVED,aging_over_90d_8pct
2023-01,SKU024,Convenience Foods,50933448,92.65,false,0.08,4074675.84,SIMULATED/DERIVED,aging_over_90d_8pct
2023-01,SKU025,Dairy,58310070,90.8,false,0.08,4664805.6,SIMULATED/DERIVED,aging_over_90d_8pct
2023-01,SKU026,Beverages,48447025,85.5,false,0.01,484470.25,SIMULATED/DERIVED,normal_1pct
2023-01,SKU027,Condiments,55192410,77.25,false,0.01,551924.1,SIMULATED/DERIVED,normal_1pct
2023-01,SKU028,Convenience Foods,23293440,78.4,false,0.01,232934.4,SIMULATED/DERIVED,normal_1pct
2023-01,SKU029,Dairy,28306806,74.9,false,0.01,283068.06,SIMULATED/DERIVED,normal_1pct
2023-01,SKU030,Beverages,32793750,61.95,false,0.01,327937.5,SIMULATED/DERIVED,normal_1pct
2023-01,SKU031,Condiments,30012495,61.15,false,0.01,300124.95,SIMULATED/DERIVED,normal_1pct
2023-01,SKU032,Convenience Foods,39006240,70.25,false,0.01,390062.4,SIMULATED/DERIVED,normal_1pct
2023-01,SKU033,Dairy,40657440,55,false,0.01,406574.4,SIMULATED/DERIVED,normal_1pct
2023-01,SKU034,Beverages,62137725,167.2,true,0.15,9320658.75,SIMULATED/DERIVED,slow_moving_15pct
2023-01,SKU035,Condiments,67192075,135.2,true,0.15,10078811.25,SIMULATED/DERIVED,slow_moving_15pct
2023-01,SKU036,Convenience Foods,59537800,132.05,true,0.15,8930670,SIMULATED/DERIVED,slow_moving_15pct
2023-02,SKU001,Dairy,24164280,127.25,true,0.15,3624642,SIMULATED/DERIVED,slow_moving_15pct
2023-02,SKU002,Beverages,25257124,99.05,false,0.08,2020569.92,SIMULATED/DERIVED,aging_over_90d_8pct
2023-02,SKU003,Condiments,32340000,104.7,false,0.08,2587200,SIMULATED/DERIVED,aging_over_90d_8pct
2023-02,SKU004,Convenience Foods,39578000,104.7,false,0.08,3166240,SIMULATED/DERIVED,aging_over_90d_8pct
2023-02,SKU005,Dairy,48319040,103.25,false,0.08,3865523.2,SIMULATED/DERIVED,aging_over_90d_8pct
2023-02,SKU006,Beverages,39566880,93.5,false,0.08,3165350.4,SIMULATED/DERIVED,aging_over_90d_8pct
