period,control_id,formula,debit_vnd,credit_vnd,residual_vnd,status,evidence_class
2023-01,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8115669469,8115669469,0,PASS,DERIVED
2023-02,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8240174689,8240174689,0,PASS,DERIVED
2023-03,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8279819941,8279819941,0,PASS,DERIVED
2023-04,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8360535018,8360535018,0,PASS,DERIVED
2023-05,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8324772019,8324772019,0,PASS,DERIVED
2023-06,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8400405265,8400405265,0,PASS,DERIVED
2023-07,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8487855833,8487855833,0,PASS,DERIVED
2023-08,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8565380322,8565380322,0,PASS,DERIVED
2023-09,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8672754125,8672754125,0,PASS,DERIVED
2023-10,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8598173523,8598173523,0,PASS,DERIVED
2023-11,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8800157556,8800157556,0,PASS,DERIVED
2023-12,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8883746743,8883746743,0,PASS,DERIVED
2024-01,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8783714202,8783714202,0,PASS,DERIVED
2024-02,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8886543653,8886543653,0,PASS,DERIVED
2024-03,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),8969918686,8969918686,0,PASS,DERIVED
2024-04,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),9058017004,9058017004,0,PASS,DERIVED
2024-05,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),9987418570,9987418570,0,PASS,DERIVED
2024-06,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10080039580,10080039580,0,PASS,DERIVED
2024-07,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10153032261,10153032261,0,PASS,DERIVED
2024-08,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10248002240,10248002240,0,PASS,DERIVED
2024-09,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10320239010,10320239010,0,PASS,DERIVED
2024-10,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10249892562,10249892562,0,PASS,DERIVED
2024-11,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10474448196,10474448196,0,PASS,DERIVED
2024-12,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10568784416,10568784416,0,PASS,DERIVED
2025-01,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10450198950,10450198950,0,PASS,DERIVED
2025-02,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10531320460,10531320460,0,PASS,DERIVED
2025-03,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10621868672,10621868672,0,PASS,DERIVED
2025-04,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10642891333,10642891333,0,PASS,DERIVED
2025-05,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10663763280,10663763280,0,PASS,DERIVED
2025-06,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10751684809,10751684809,0,PASS,DERIVED
2025-07,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10820521410,10820521410,0,PASS,DERIVED
2025-08,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10908273903,10908273903,0,PASS,DERIVED
2025-09,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),11015230602,11015230602,0,PASS,DERIVED
2025-10,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10739360147,10739360147,0,PASS,DERIVED
2025-11,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),10944199597,10944199597,0,PASS,DERIVED
2025-12,TRIAL_BALANCE,SUM(Debit) − SUM(Credit),11017210077,11017210077,0,PASS,DERIVED
