entry_id,period,line_no,account,debit_vnd,credit_vnd,adjustment_type,reason,preparer,approver,approval_status,evidence_class
RECLASS-2023-01,2023-01,1,6000,249881.51,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-01,2023-01,2,5200,0,249881.51,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-02,2023-02,1,6000,265896.92,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-02,2023-02,2,5200,0,265896.92,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-03,2023-03,1,6000,266789.53,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-03,2023-03,2,5200,0,266789.53,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-04,2023-04,1,6000,270753.76,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-04,2023-04,2,5200,0,270753.76,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-05,2023-05,1,6000,248524.66,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-05,2023-05,2,5200,0,248524.66,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-06,2023-06,1,6000,252233.44,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-06,2023-06,2,5200,0,252233.44,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-07,2023-07,1,6000,259751.79,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-07,2023-07,2,5200,0,259751.79,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-08,2023-08,1,6000,263727.94,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-08,2023-08,2,5200,0,263727.94,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-09,2023-09,1,6000,275065.33,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-09,2023-09,2,5200,0,275065.33,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-10,2023-10,1,6000,245584.47,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-10,2023-10,2,5200,0,245584.47,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-11,2023-11,1,6000,284052.24,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-11,2023-11,2,5200,0,284052.24,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-12,2023-12,1,6000,289795.18,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2023-12,2023-12,2,5200,0,289795.18,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-01,2024-01,1,6000,250635.44,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-01,2024-01,2,5200,0,250635.44,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-02,2024-02,1,6000,259028.88,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
