posting_id,document_type,company_code,posting_date,period,currency,cost_center,profit_center,gl_account,gl_account_name,management_line,debit_vnd,credit_vnd,signed_amount_vnd,source_system,source_table,mapping_version,mapping_status,exception_status,evidence_class
SIM-202301-00001,AA,VNO1,2023-01-28,2023-01,VND,CC-CORPORATE,PC-CORP,1000,Cash,Cash,4483219916,0,-4483219916,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00002,AA,VNO1,2023-01-28,2023-01,VND,CC-CORPORATE,PC-CORP,1100,Trade Receivables,Trade Receivables,138696610,0,-138696610,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00003,AA,VNO1,2023-01-28,2023-01,VND,CC-CORPORATE,PC-CORP,1200,Inventory,Inventory,1522192232,0,-1522192232,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00004,AA,VNO1,2023-01-28,2023-01,VND,CC-CORPORATE,PC-CORP,1500,Net PP&E,Net PP&E,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00005,AB,VNO1,2023-01-28,2023-01,VND,CC-CORPORATE,PC-CORP,2000,Trade Payables,Trade Payables,0,106361969,106361969,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00006,AB,VNO1,2023-01-28,2023-01,VND,CC-CORPORATE,PC-CORP,2500,Debt,Debt,0,6950000000,6950000000,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00007,AB,VNO1,2023-01-28,2023-01,VND,CC-CORPORATE,PC-CORP,3000,Opening Retained Earnings,Opening Retained Earnings,348542000,0,-348542000,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00008,SA,VNO1,2023-01-28,2023-01,VND,CC-COMMERCIAL,PC-FMCG,4000,Gross Sales,Gross Sales,0,1059307500,1059307500,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00009,SA,VNO1,2023-01-28,2023-01,VND,CC-COMMERCIAL,PC-FMCG,4010,Invoice Discounts,Invoice Discounts,50751595,0,-50751595,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00010,SA,VNO1,2023-01-28,2023-01,VND,CC-COMMERCIAL,PC-FMCG,4020,Returns,Returns,8004270,0,-8004270,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00011,SA,VNO1,2023-01-28,2023-01,VND,CC-COMMERCIAL,PC-FMCG,4030,Rebates,Rebates,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00012,SA,VNO1,2023-01-28,2023-01,VND,CC-COMMERCIAL,PC-FMCG,4040,Voucher Support,Voucher Support,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00013,KR,VNO1,2023-01-28,2023-01,VND,CC-SUPPLY,PC-FMCG,5000,COGS,COGS,505741590,0,-505741590,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00014,KR,VNO1,2023-01-28,2023-01,VND,CC-TRADE,PC-FMCG,5100,Channel Fees,Channel Fees,62412688,0,-62412688,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00015,KR,VNO1,2023-01-28,2023-01,VND,CC-TRADE,PC-FMCG,5200,Trade Spend,Trade Spend,24988151,0,-24988151,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00016,KR,VNO1,2023-01-28,2023-01,VND,CC-TRADE,PC-FMCG,5300,Variable Fulfilment,Variable Fulfilment,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00017,KR,VNO1,2023-01-28,2023-01,VND,CC-G&A,PC-CORP,6000,Controllable OPEX,Controllable OPEX,923360000,0,-923360000,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00018,KR,VNO1,2023-01-28,2023-01,VND,CC-G&A,PC-CORP,6100,Depreciation,Depreciation,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00019,KR,VNO1,2023-01-28,2023-01,VND,CC-TREASURY,PC-CORP,6200,Finance Cost,Finance Cost,47760417,0,-47760417,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202301-00020,KR,VNO1,2023-01-28,2023-01,VND,CC-TAX,PC-CORP,6300,Tax Proxy,Tax Proxy,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00021,AA,VNO1,2023-02-28,2023-02,VND,CC-CORPORATE,PC-CORP,1000,Cash,Cash,4001004409,0,-4001004409,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00022,AA,VNO1,2023-02-28,2023-02,VND,CC-CORPORATE,PC-CORP,1100,Trade Receivables,Trade Receivables,290725031,0,-290725031,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00023,AA,VNO1,2023-02-28,2023-02,VND,CC-CORPORATE,PC-CORP,1200,Inventory,Inventory,1315622293,0,-1315622293,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00024,AA,VNO1,2023-02-28,2023-02,VND,CC-CORPORATE,PC-CORP,1500,Net PP&E,Net PP&E,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00025,AB,VNO1,2023-02-28,2023-02,VND,CC-CORPORATE,PC-CORP,2000,Trade Payables,Trade Payables,0,217138689,217138689,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00026,AB,VNO1,2023-02-28,2023-02,VND,CC-CORPORATE,PC-CORP,2500,Debt,Debt,0,6900000000,6900000000,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00027,AB,VNO1,2023-02-28,2023-02,VND,CC-CORPORATE,PC-CORP,3000,Opening Retained Earnings,Opening Retained Earnings,912253211,0,-912253211,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00028,SA,VNO1,2023-02-28,2023-02,VND,CC-COMMERCIAL,PC-FMCG,4000,Gross Sales,Gross Sales,0,1123036000,1123036000,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00029,SA,VNO1,2023-02-28,2023-02,VND,CC-COMMERCIAL,PC-FMCG,4010,Invoice Discounts,Invoice Discounts,53907495,0,-53907495,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00030,SA,VNO1,2023-02-28,2023-02,VND,CC-COMMERCIAL,PC-FMCG,4020,Returns,Returns,8558022,0,-8558022,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00031,SA,VNO1,2023-02-28,2023-02,VND,CC-COMMERCIAL,PC-FMCG,4030,Rebates,Rebates,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00032,SA,VNO1,2023-02-28,2023-02,VND,CC-COMMERCIAL,PC-FMCG,4040,Voucher Support,Voucher Support,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00033,KR,VNO1,2023-02-28,2023-02,VND,CC-SUPPLY,PC-FMCG,5000,COGS,COGS,535733665,0,-535733665,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00034,KR,VNO1,2023-02-28,2023-02,VND,CC-TRADE,PC-FMCG,5100,Channel Fees,Channel Fees,66392954,0,-66392954,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00035,KR,VNO1,2023-02-28,2023-02,VND,CC-TRADE,PC-FMCG,5200,Trade Spend,Trade Spend,26589692,0,-26589692,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00036,KR,VNO1,2023-02-28,2023-02,VND,CC-TRADE,PC-FMCG,5300,Variable Fulfilment,Variable Fulfilment,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00037,KR,VNO1,2023-02-28,2023-02,VND,CC-G&A,PC-CORP,6000,Controllable OPEX,Controllable OPEX,981940000,0,-981940000,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00038,KR,VNO1,2023-02-28,2023-02,VND,CC-G&A,PC-CORP,6100,Depreciation,Depreciation,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00039,KR,VNO1,2023-02-28,2023-02,VND,CC-TREASURY,PC-CORP,6200,Finance Cost,Finance Cost,47447917,0,-47447917,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202302-00040,KR,VNO1,2023-02-28,2023-02,VND,CC-TAX,PC-CORP,6300,Tax Proxy,Tax Proxy,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
