period,subledger,subledger_value_vnd,gl_control_value_vnd,residual_vnd,status,evidence_class
2023-01,AR,138696610,138696610,0,PASS,DERIVED
2023-01,Inventory,1522192232,1522192232,0,PASS,DERIVED
2023-01,AP,106361969,106361969,0,PASS,DERIVED
2023-01,PP&E,0,0,0,PASS,DERIVED
2023-01,Debt,6950000000,6950000000,0,PASS,DERIVED
2023-02,AR,290725031,290725031,0,PASS,DERIVED
2023-02,Inventory,1315622293,1315622293,0,PASS,DERIVED
2023-02,AP,217138689,217138689,0,PASS,DERIVED
2023-02,PP&E,0,0,0,PASS,DERIVED
2023-02,Debt,6900000000,6900000000,0,PASS,DERIVED
2023-03,AR,451043803,451043803,0,PASS,DERIVED
2023-03,Inventory,1055735524,1055735524,0,PASS,DERIVED
2023-03,AP,304462441,304462441,0,PASS,DERIVED
2023-03,PP&E,0,0,0,PASS,DERIVED
2023-03,Debt,6850000000,6850000000,0,PASS,DERIVED
2023-04,AR,613087712,613087712,0,PASS,DERIVED
2023-04,Inventory,794129843,794129843,0,PASS,DERIVED
2023-04,AP,420815018,420815018,0,PASS,DERIVED
2023-04,PP&E,0,0,0,PASS,DERIVED
2023-04,Debt,6800000000,6800000000,0,PASS,DERIVED
2023-05,AR,755351700,755351700,0,PASS,DERIVED
2023-05,Inventory,644576507,644576507,0,PASS,DERIVED
2023-05,AP,528325519,528325519,0,PASS,DERIVED
2023-05,PP&E,0,0,0,PASS,DERIVED
2023-05,Debt,6750000000,6750000000,0,PASS,DERIVED
2023-06,AR,902744462,902744462,0,PASS,DERIVED
2023-06,Inventory,540237567,540237567,0,PASS,DERIVED
2023-06,AP,636552765,636552765,0,PASS,DERIVED
2023-06,PP&E,0,0,0,PASS,DERIVED
2023-06,Debt,6700000000,6700000000,0,PASS,DERIVED
2023-07,AR,1057177775,1057177775,0,PASS,DERIVED
2023-07,Inventory,457533792,457533792,0,PASS,DERIVED
2023-07,AP,748337833,748337833,0,PASS,DERIVED
2023-07,PP&E,0,0,0,PASS,DERIVED
2023-07,Debt,6650000000,6650000000,0,PASS,DERIVED
2023-08,AR,1211435764,1211435764,0,PASS,DERIVED
2023-08,Inventory,381987127,381987127,0,PASS,DERIVED
2023-08,AP,855761822,855761822,0,PASS,DERIVED
2023-08,PP&E,0,0,0,PASS,DERIVED
2023-08,Debt,6600000000,6600000000,0,PASS,DERIVED
2023-09,AR,1371093506,1371093506,0,PASS,DERIVED
2023-09,Inventory,322223138,322223138,0,PASS,DERIVED
2023-09,AP,961346625,961346625,0,PASS,DERIVED
2023-09,PP&E,0,0,0,PASS,DERIVED
2023-09,Debt,6550000000,6550000000,0,PASS,DERIVED
2023-10,AR,1506128209,1506128209,0,PASS,DERIVED
2023-10,Inventory,289827658,289827658,0,PASS,DERIVED
2023-10,AP,1058691023,1058691023,0,PASS,DERIVED
2023-10,PP&E,0,0,0,PASS,DERIVED
2023-10,Debt,6500000000,6500000000,0,PASS,DERIVED
2023-11,AR,1673851355,1673851355,0,PASS,DERIVED
2023-11,Inventory,257041042,257041042,0,PASS,DERIVED
2023-11,AP,1153870556,1153870556,0,PASS,DERIVED
2023-11,PP&E,0,0,0,PASS,DERIVED
