period,account,debit_vnd,credit_vnd,evidence_class
2023-01,1000,4483219916,0,SIMULATED/DERIVED
2023-01,1100,138696610,0,SIMULATED/DERIVED
2023-01,1200,1522192232,0,SIMULATED/DERIVED
2023-01,1500,0,0,SIMULATED/DERIVED
2023-01,2000,0,106361969,SIMULATED/DERIVED
2023-01,2500,0,6950000000,SIMULATED/DERIVED
2023-01,3000,348542000,0,SIMULATED/DERIVED
2023-01,4000,0,1059307500,SIMULATED/DERIVED
2023-01,4010,50751595,0,SIMULATED/DERIVED
2023-01,4020,8004270,0,SIMULATED/DERIVED
2023-01,4030,0,0,SIMULATED/DERIVED
2023-01,4040,0,0,SIMULATED/DERIVED
2023-01,5000,505741590,0,SIMULATED/DERIVED
2023-01,5100,62412688,0,SIMULATED/DERIVED
2023-01,5200,24988151,0,SIMULATED/DERIVED
2023-01,5300,0,0,SIMULATED/DERIVED
2023-01,6000,923360000,0,SIMULATED/DERIVED
2023-01,6100,0,0,SIMULATED/DERIVED
2023-01,6200,47760417,0,SIMULATED/DERIVED
2023-01,6300,0,0,SIMULATED/DERIVED
2023-02,1000,4001004409,0,SIMULATED/DERIVED
2023-02,1100,290725031,0,SIMULATED/DERIVED
2023-02,1200,1315622293,0,SIMULATED/DERIVED
2023-02,1500,0,0,SIMULATED/DERIVED
2023-02,2000,0,217138689,SIMULATED/DERIVED
2023-02,2500,0,6900000000,SIMULATED/DERIVED
2023-02,3000,912253211,0,SIMULATED/DERIVED
2023-02,4000,0,1123036000,SIMULATED/DERIVED
2023-02,4010,53907495,0,SIMULATED/DERIVED
2023-02,4020,8558022,0,SIMULATED/DERIVED
2023-02,4030,0,0,SIMULATED/DERIVED
2023-02,4040,0,0,SIMULATED/DERIVED
2023-02,5000,535733665,0,SIMULATED/DERIVED
2023-02,5100,66392954,0,SIMULATED/DERIVED
2023-02,5200,26589692,0,SIMULATED/DERIVED
2023-02,5300,0,0,SIMULATED/DERIVED
