target_period,metric_id,from_version,to_version,baseline_value_vnd,override_value_vnd,volume_effect_vnd,price_effect_vnd,mix_effect_vnd,cost_effect_vnd,opex_effect_vnd,wc_effect_vnd,total_change_vnd,bridge_check_vnd,evidence_class
2025-01,REVENUE,BUDGET,RF1,1079699142.24,1049707499.4,-11996657.14,-7497910.71,-4498746.43,-3598997.14,-1499582.14,-899749.29,-29991642.84,0,SIMULATED_DERIVED
2025-01,REVENUE,RF1,RF2,1049707499.4,1029713070.84,-7997771.42,-4998607.14,-2999164.28,-2399331.43,-999721.43,-599832.86,-19994428.56,0,SIMULATED_DERIVED
2025-01,REVENUE,RF2,RF3,1029713070.84,1014717249.42,-5998328.57,-3748955.36,-2249373.21,-1799498.57,-749791.07,-449874.64,-14995821.42,0,SIMULATED_DERIVED
2025-01,REVENUE,RF3,LATEST_ESTIMATE,1014717249.42,1009718642.28,-1999442.86,-1249651.78,-749791.07,-599832.86,-249930.36,-149958.21,-4998607.14,0,SIMULATED_DERIVED
2025-01,GROSS_PROFIT,BUDGET,RF1,516223523.52,501883981.2,-5735816.93,-3584885.58,-2150931.35,-1720745.08,-716977.12,-430186.27,-14339542.32,0,SIMULATED_DERIVED
2025-01,GROSS_PROFIT,RF1,RF2,501883981.2,492324286.32,-3823877.95,-2389923.72,-1433954.23,-1147163.39,-477984.74,-286790.85,-9559694.88,0,SIMULATED_DERIVED
2025-01,GROSS_PROFIT,RF2,RF3,492324286.32,485154515.16,-2867908.46,-1792442.79,-1075465.67,-860372.54,-358488.56,-215093.13,-7169771.16,0,SIMULATED_DERIVED
2025-01,GROSS_PROFIT,RF3,LATEST_ESTIMATE,485154515.16,482764591.44,-955969.49,-597480.93,-358488.56,-286790.85,-119496.19,-71697.71,-2389923.72,0,SIMULATED_DERIVED
2025-01,EBITDA_PROXY,BUDGET,RF1,-762432868.58,-741254177.79,8471476.32,5294672.7,3176803.62,2541442.89,1058934.54,635360.72,21178690.79,0,SIMULATED_DERIVED
2025-01,EBITDA_PROXY,RF1,RF2,-741254177.79,-727135050.59,5647650.88,3529781.8,2117869.08,1694295.26,705956.36,423573.82,14119127.2,0,SIMULATED_DERIVED
2025-01,EBITDA_PROXY,RF2,RF3,-727135050.59,-716545705.2,4235738.16,2647336.35,1588401.81,1270721.45,529467.27,317680.36,10589345.39,0,SIMULATED_DERIVED
2025-01,EBITDA_PROXY,RF3,LATEST_ESTIMATE,-716545705.2,-713015923.4,1411912.72,882445.45,529467.27,423573.82,176489.09,105893.45,3529781.8,0,SIMULATED_DERIVED
2025-01,CFO,BUDGET,RF1,-797566810.14,-823574423.51,-10403045.35,-6501903.34,-3901142.01,-3120913.6,-1300380.67,-780228.4,-26007613.37,0,SIMULATED_DERIVED
2025-01,CFO,RF1,RF2,-823574423.51,-840912832.43,-6935363.57,-4334602.23,-2600761.34,-2080609.07,-866920.45,-520152.27,-17338408.92,0,SIMULATED_DERIVED
2025-01,CFO,RF2,RF3,-840912832.43,-853916639.11,-5201522.67,-3250951.67,-1950571,-1560456.8,-650190.33,-390114.2,-13003806.68,0,SIMULATED_DERIVED
2025-01,CFO,RF3,LATEST_ESTIMATE,-853916639.11,-858251241.34,-1733840.89,-1083650.56,-650190.33,-520152.27,-216730.11,-130038.07,-4334602.23,0,SIMULATED_DERIVED
2025-01,WORKING_CAPITAL,BUDGET,RF1,1603685085.96,1655979164.85,20917631.56,13073519.72,7844111.83,6275289.47,2614703.94,1568822.37,52294078.89,0,SIMULATED_DERIVED
2025-01,WORKING_CAPITAL,RF1,RF2,1655979164.85,1690841884.11,13945087.7,8715679.81,5229407.89,4183526.31,1743135.96,1045881.58,34862719.26,0,SIMULATED_DERIVED
2025-01,WORKING_CAPITAL,RF2,RF3,1690841884.11,1716988923.56,10458815.78,6536759.86,3922055.92,3137644.73,1307351.97,784411.18,26147039.45,0,SIMULATED_DERIVED
2025-01,WORKING_CAPITAL,RF3,LATEST_ESTIMATE,1716988923.56,1725704603.37,3486271.92,2178919.95,1307351.97,1045881.58,435783.99,261470.39,8715679.81,0,SIMULATED_DERIVED
2025-02,REVENUE,BUDGET,RF1,1107825840.36,1077052900.35,-12309176,-7693235,-4615941,-3692752.8,-1538647,-923188.2,-30772940.01,0,SIMULATED_DERIVED
2025-02,REVENUE,RF1,RF2,1077052900.35,1056537607.01,-8206117.34,-5128823.33,-3077294,-2461835.2,-1025764.67,-615458.8,-20515293.34,0,SIMULATED_DERIVED
2025-02,REVENUE,RF2,RF3,1056537607.01,1041151137,-6154588,-3846617.5,-2307970.5,-1846376.4,-769323.5,-461594.1,-15386470.01,0,SIMULATED_DERIVED
2025-02,REVENUE,RF3,LATEST_ESTIMATE,1041151137,1036022313.67,-2051529.33,-1282205.83,-769323.5,-615458.8,-256441.17,-153864.7,-5128823.33,0,SIMULATED_DERIVED
2025-02,GROSS_PROFIT,BUDGET,RF1,530865537.12,516119272.2,-5898505.97,-3686566.23,-2211939.74,-1769551.79,-737313.25,-442387.95,-14746264.92,0,SIMULATED_DERIVED
2025-02,GROSS_PROFIT,RF1,RF2,516119272.2,506288428.92,-3932337.31,-2457710.82,-1474626.49,-1179701.19,-491542.16,-294925.3,-9830843.28,0,SIMULATED_DERIVED
2025-02,GROSS_PROFIT,RF2,RF3,506288428.92,498915296.46,-2949252.98,-1843283.12,-1105969.87,-884775.9,-368656.62,-221193.97,-7373132.46,0,SIMULATED_DERIVED
2025-02,GROSS_PROFIT,RF3,LATEST_ESTIMATE,498915296.46,496457585.64,-983084.33,-614427.7,-368656.62,-294925.3,-122885.54,-73731.32,-2457710.82,0,SIMULATED_DERIVED
2025-02,EBITDA_PROXY,BUDGET,RF1,-758265492.89,-737202562.53,8425172.14,5265732.59,3159439.55,2527551.64,1053146.52,631887.91,21062930.36,0,SIMULATED_DERIVED
2025-02,EBITDA_PROXY,RF1,RF2,-737202562.53,-723160608.96,5616781.43,3510488.39,2106293.04,1685034.43,702097.68,421258.61,14041953.57,0,SIMULATED_DERIVED
2025-02,EBITDA_PROXY,RF2,RF3,-723160608.96,-712629143.78,4212586.07,2632866.3,1579719.78,1263775.82,526573.26,315943.96,10531465.18,0,SIMULATED_DERIVED
2025-02,EBITDA_PROXY,RF3,LATEST_ESTIMATE,-712629143.78,-709118655.39,1404195.36,877622.1,526573.26,421258.61,175524.42,105314.65,3510488.39,0,SIMULATED_DERIVED
2025-02,CFO,BUDGET,RF1,-881549487.43,-910295666.37,-11498471.58,-7186544.74,-4311926.84,-3449541.47,-1437308.95,-862385.37,-28746178.94,0,SIMULATED_DERIVED
2025-02,CFO,RF1,RF2,-910295666.37,-929459785.66,-7665647.72,-4791029.82,-2874617.89,-2299694.31,-958205.96,-574923.58,-19164119.29,0,SIMULATED_DERIVED
2025-02,CFO,RF2,RF3,-929459785.66,-943832875.13,-5749235.79,-3593272.37,-2155963.42,-1724770.74,-718654.47,-431192.68,-14373089.47,0,SIMULATED_DERIVED
2025-02,CFO,RF3,LATEST_ESTIMATE,-943832875.13,-948623904.95,-1916411.93,-1197757.46,-718654.47,-574923.58,-239551.49,-143730.89,-4791029.82,0,SIMULATED_DERIVED
