forecast_version,metric_id,horizon_months,eligible_rows,forecast_total_vnd,actual_total_vnd,bias_pct,wape_pct,mae_vnd,fva_vs_budget_pct,as_of_date,evidence_class
BUDGET,REVENUE,6,12,13577629774.68,12571879421,8,8,83812529.47,0,2026-01-31,SIMULATED_BACKTEST
BUDGET,GROSS_PROFIT,6,12,6441468674.76,5964322847,8,8,39762152.31,0,2026-01-31,SIMULATED_BACKTEST
BUDGET,EBITDA_PROXY,6,12,-10492467344.27,-9715247541,8,8,64768316.94,0,2026-01-31,SIMULATED_BACKTEST
BUDGET,CFO,6,12,-13211445142.29,-14360266459,-8,8,95735109.73,0,2026-01-31,SIMULATED_BACKTEST
BUDGET,WORKING_CAPITAL,6,12,35753433675.36,38862427908,-8,8,259082852.72,0,2026-01-31,SIMULATED_BACKTEST
RF1,REVENUE,3,12,13200473392.05,12571879421,5,5,52382830.92,3,2026-01-31,SIMULATED_BACKTEST
RF1,GROSS_PROFIT,3,12,6262538989.35,5964322847,5,5,24851345.2,3,2026-01-31,SIMULATED_BACKTEST
RF1,EBITDA_PROXY,3,12,-10201009918.05,-9715247541,5,5,40480198.09,3,2026-01-31,SIMULATED_BACKTEST
RF1,CFO,3,12,-13642253136.05,-14360266459,-5,5,59834443.58,3,2026-01-31,SIMULATED_BACKTEST
RF1,WORKING_CAPITAL,3,12,36919306512.6,38862427908,-5,5,161926782.95,3,2026-01-31,SIMULATED_BACKTEST
RF2,REVENUE,2,12,12949035803.63,12571879421,3,3,31429698.55,5,2026-01-31,SIMULATED_BACKTEST
RF2,GROSS_PROFIT,2,12,6143252532.41,5964322847,3,3,14910807.12,5,2026-01-31,SIMULATED_BACKTEST
RF2,EBITDA_PROXY,2,12,-10006704967.22,-9715247541,3,3,24288118.85,5,2026-01-31,SIMULATED_BACKTEST
RF2,CFO,2,12,-13929458465.24,-14360266459,-3,3,35900666.15,5,2026-01-31,SIMULATED_BACKTEST
RF2,WORKING_CAPITAL,2,12,37696555070.76,38862427908,-3,3,97156069.77,5,2026-01-31,SIMULATED_BACKTEST
RF3,REVENUE,1,12,12760457612.33,12571879421,1.5,1.5,15714849.27,6.5,2026-01-31,SIMULATED_BACKTEST
RF3,GROSS_PROFIT,1,12,6053787689.7,5964322847,1.5,1.5,7455403.56,6.5,2026-01-31,SIMULATED_BACKTEST
RF3,EBITDA_PROXY,1,12,-9860976254.09,-9715247541,1.5,1.5,12144059.42,6.5,2026-01-31,SIMULATED_BACKTEST
RF3,CFO,1,12,-14144862462.08,-14360266459,-1.5,1.5,17950333.08,6.5,2026-01-31,SIMULATED_BACKTEST
RF3,WORKING_CAPITAL,1,12,38279491489.4,38862427908,-1.5,1.5,48578034.89,6.5,2026-01-31,SIMULATED_BACKTEST
LATEST_ESTIMATE,REVENUE,1,12,12697598215.21,12571879421,1,1,10476566.18,7,2026-01-31,SIMULATED_BACKTEST
LATEST_ESTIMATE,GROSS_PROFIT,1,12,6023966075.47,5964322847,1,1,4970269.04,7,2026-01-31,SIMULATED_BACKTEST
LATEST_ESTIMATE,EBITDA_PROXY,1,12,-9812400016.42,-9715247541,1,1,8096039.62,7,2026-01-31,SIMULATED_BACKTEST
LATEST_ESTIMATE,CFO,1,12,-14216663794.4,-14360266459,-1,1,11966888.72,7,2026-01-31,SIMULATED_BACKTEST
LATEST_ESTIMATE,WORKING_CAPITAL,1,12,38473803628.92,38862427908,-1,1,32385356.59,7,2026-01-31,SIMULATED_BACKTEST
ACTUAL,REVENUE,0,12,12571879421,12571879421,0,0,0,8,2026-01-31,SIMULATED_BACKTEST
ACTUAL,GROSS_PROFIT,0,12,5964322847,5964322847,0,0,0,8,2026-01-31,SIMULATED_BACKTEST
ACTUAL,EBITDA_PROXY,0,12,-9715247541,-9715247541,0,0,0,8,2026-01-31,SIMULATED_BACKTEST
ACTUAL,CFO,0,12,-14360266459,-14360266459,0,0,0,8,2026-01-31,SIMULATED_BACKTEST
ACTUAL,WORKING_CAPITAL,0,12,38862427908,38862427908,0,0,0,8,2026-01-31,SIMULATED_BACKTEST
