origin_period,target_period,horizon_months,model_id,is_primary_model,training_start_period,training_end_period,seasonal_reference_period,forecast_value_vnd,actual_value_vnd,error_vnd,abs_error_vnd,evidence_class,live_accuracy_claim_allowed
2023-12,2024-01,1,SEASONAL_NAIVE_12,true,2023-01,2023-12,2023-01,1000551635,1000995180,-443545,443545,SIMULATED_HISTORICAL_BACKTEST,false
2023-12,2024-01,1,LINEAR_TREND_12,false,2023-01,2023-12,2023-01,1099930756.18,1000995180,98935576.18,98935576.18,SIMULATED_HISTORICAL_BACKTEST,false
2023-12,2024-01,1,ENSEMBLE_50_50,false,2023-01,2023-12,2023-01,1050241195.59,1000995180,49246015.59,49246015.59,SIMULATED_HISTORICAL_BACKTEST,false
2024-01,2024-02,1,SEASONAL_NAIVE_12,true,2023-02,2024-01,2023-02,1060570483,1032986931,27583552,27583552,SIMULATED_HISTORICAL_BACKTEST,false
2024-01,2024-02,1,LINEAR_TREND_12,false,2023-02,2024-01,2023-02,1071511601.02,1032986931,38524670.02,38524670.02,SIMULATED_HISTORICAL_BACKTEST,false
2024-01,2024-02,1,ENSEMBLE_50_50,false,2023-02,2024-01,2023-02,1066041042.01,1032986931,33054111.01,33054111.01,SIMULATED_HISTORICAL_BACKTEST,false
2024-02,2024-03,1,SEASONAL_NAIVE_12,true,2023-03,2024-02,2023-03,1062658971,1063477989,-819018,819018,SIMULATED_HISTORICAL_BACKTEST,false
2024-02,2024-03,1,LINEAR_TREND_12,false,2023-03,2024-02,2023-03,1066467472.5,1063477989,2989483.5,2989483.5,SIMULATED_HISTORICAL_BACKTEST,false
2024-02,2024-03,1,ENSEMBLE_50_50,false,2023-03,2024-02,2023-03,1064563221.75,1063477989,1085232.75,1085232.75,SIMULATED_HISTORICAL_BACKTEST,false
2024-03,2024-04,1,SEASONAL_NAIVE_12,true,2023-04,2024-03,2023-04,1076553129,1084675851,-8122722,8122722,SIMULATED_HISTORICAL_BACKTEST,false
2024-03,2024-04,1,LINEAR_TREND_12,false,2023-04,2024-03,2023-04,1073283840.41,1084675851,-11392010.59,11392010.59,SIMULATED_HISTORICAL_BACKTEST,false
2024-03,2024-04,1,ENSEMBLE_50_50,false,2023-04,2024-03,2023-04,1074918484.7,1084675851,-9757366.3,9757366.3,SIMULATED_HISTORICAL_BACKTEST,false
2024-04,2024-05,1,SEASONAL_NAIVE_12,true,2023-05,2024-04,2023-05,988621499,966146936,22474563,22474563,SIMULATED_HISTORICAL_BACKTEST,false
2024-04,2024-05,1,LINEAR_TREND_12,false,2023-05,2024-04,2023-05,1090076179.86,966146936,123929243.86,123929243.86,SIMULATED_HISTORICAL_BACKTEST,false
