Page,Object,X,Y,Width,Height,ZIndex,VisualType,Font,Background,Border,Notes
00 Executive Decision Cockpit,00_F_Period,40,20,250,48,30,slicer,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_F_Scenario,305,20,250,48,30,slicer,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_F_Channel,570,20,250,48,30,slicer,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_F_Region,835,20,250,48,30,slicer,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_MSG_Management,40,82,1590,48,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_KPI_NetRevenue,40,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_KPI_VarBudget,305,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_KPI_CM,570,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_KPI_OperatingProfit,835,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_KPI_CCC,1100,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_KPI_CashRelease,1365,145,267,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_CH_ActualBudgetLE,40,255,780,330,10,lineChart,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_CH_ChannelGap,840,255,792,330,10,waterfallChart,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_TBL_Actions,40,610,780,270,5,tableEx,Segoe UI,#FFFFFF,#D9E2EC,primary
00 Executive Decision Cockpit,00_TBL_WC,840,610,792,270,5,tableEx,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_F_Period,40,20,250,48,30,slicer,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_F_Scenario,305,20,250,48,30,slicer,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_F_Channel,570,20,250,48,30,slicer,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_F_Region,835,20,250,48,30,slicer,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_MSG_Management,40,82,1590,48,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_KPI_GrossSales,40,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_KPI_NetRevenue,305,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_KPI_GrossProfit,570,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_KPI_GM,835,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_KPI_Contribution,1100,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_KPI_OperatingProfit,1365,145,267,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_MTX_PnL,40,255,760,625,5,pivotTable,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_CH_ProfitVariance,825,255,807,290,10,waterfallChart,Segoe UI,#FFFFFF,#D9E2EC,primary
01 P&L & Variance,01_CH_MonthlyTrend,825,565,807,315,10,lineChart,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_F_Period,40,20,250,48,30,slicer,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_F_Scenario,305,20,250,48,30,slicer,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_F_Channel,570,20,250,48,30,slicer,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_F_Region,835,20,250,48,30,slicer,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_MSG_Management,40,82,1590,48,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_KPI_GrossSales,40,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_KPI_NetRevenue,305,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_KPI_GTN,570,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_KPI_Price,835,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_KPI_Volume,1100,145,250,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_KPI_PVMResidual,1365,145,267,90,20,card,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_CH_GTN,40,255,515,300,10,waterfallChart,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_CH_PVM,580,255,515,300,10,waterfallChart,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_TBL_Bridge,1120,255,512,300,5,tableEx,Segoe UI,#FFFFFF,#D9E2EC,primary
"02 Revenue, Gross-to-Net & PVM",02_CH_PriceUnits,40,575,780,305,10,lineClusteredColumnComboChart,Segoe UI,#FFFFFF,#D9E2EC,primary
