company_id,ticker,company_name,peer_role,metric,metric_label,period,value,unit,calculation_definition,rankability,basis_flag,source_record_1,source_record_2,source_url_1,source_url_2,status,analyst_note
VNM,VNM,Vinamilk,financial_benchmark,revenue_cagr_2020_2025_pct,Revenue CAGR FY2020–FY2025,FY2025,1.2805,%,(FY2025 net revenue / FY2020 net revenue)^(1/5)-1,trend_candidate,long_run_comparable_window,VNM-2020-net_revenue_vnd_bn,VNM-2025-net_revenue_vnd_bn,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,calculated,VNM is eligible for long-run trend interpretation within the approved comparable window.
VNM,VNM,Vinamilk,financial_benchmark,pbt_margin_2025_pct,FY2025 PBT margin,FY2025,18.3044,%,FY2025 PBT / FY2025 net revenue,trend_candidate,long_run_comparable_window,VNM-2025-profit_before_tax_vnd_bn,VNM-2025-net_revenue_vnd_bn,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,calculated,VNM is eligible for long-run trend interpretation within the approved comparable window.
VNM,VNM,Vinamilk,financial_benchmark,pat_margin_2025_pct,FY2025 PAT margin,FY2025,14.7912,%,FY2025 PAT / FY2025 net revenue,trend_candidate,long_run_comparable_window,VNM-2025-profit_after_tax_vnd_bn,VNM-2025-net_revenue_vnd_bn,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,calculated,VNM is eligible for long-run trend interpretation within the approved comparable window.
VNM,VNM,Vinamilk,financial_benchmark,gross_margin_2025_pct,FY2025 gross margin,FY2025,,%,FY2025 gross profit / FY2025 net revenue,blocked,long_run_comparable_window,VNM-2025-gross_profit_vnd_bn,VNM-2025-net_revenue_vnd_bn,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,not_available,Required component is not available in the approved panel; do not rank.
VNM,VNM,Vinamilk,financial_benchmark,asset_cagr_2020_2025_pct,Total-assets CAGR FY2020–FY2025,FY2025,1.9386,%,(FY2025 total assets / FY2020 total assets)^(1/5)-1,trend_candidate,long_run_comparable_window,VNM-2020-total_assets_vnd_bn,VNM-2025-total_assets_vnd_bn,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,calculated,VNM is eligible for long-run trend interpretation within the approved comparable window.
VNM,VNM,Vinamilk,financial_benchmark,equity_ratio_2025_pct,FY2025 equity ratio,FY2025,,%,FY2025 owners' equity / FY2025 total assets,blocked,long_run_comparable_window,VNM-2025-owners_equity_vnd_bn,VNM-2025-total_assets_vnd_bn,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,not_available,Required component is not available in the approved panel; do not rank.
VNM,VNM,Vinamilk,financial_benchmark,cfo_to_pat_2025_pct,FY2025 CFO / PAT,FY2025,,%,FY2025 operating cash flow / FY2025 PAT,blocked,long_run_comparable_window,VNM-2025-operating_cash_flow_vnd_bn,VNM-2025-profit_after_tax_vnd_bn,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,not_available,Required component is not available in the approved panel; do not rank.
QNS,QNS,Quang Ngai Sugar,input_cost_benchmark,revenue_cagr_2020_2025_pct,Revenue CAGR FY2020–FY2025,FY2025,10.2572,%,(FY2025 net revenue / FY2020 net revenue)^(1/5)-1,context_only,revenue_basis_break_context_only,QNS-2020-net_revenue_vnd_bn,QNS-2025-net_revenue_vnd_bn,https://drive.google.com/file/d/11X8-0YfdDQOzoRNxbxhpu-njEfBWmsBY/view,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,calculated,Use as bounded context only; QNS/KDC basis/perimeter caveats prohibit unadjusted cross-company ranking.
QNS,QNS,Quang Ngai Sugar,input_cost_benchmark,pbt_margin_2025_pct,FY2025 PBT margin,FY2025,20.9173,%,FY2025 PBT / FY2025 net revenue,context_only,revenue_basis_break_context_only,QNS-2025-profit_before_tax_vnd_bn,QNS-2025-net_revenue_vnd_bn,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,calculated,Use as bounded context only; QNS/KDC basis/perimeter caveats prohibit unadjusted cross-company ranking.
QNS,QNS,Quang Ngai Sugar,input_cost_benchmark,pat_margin_2025_pct,FY2025 PAT margin,FY2025,18.1182,%,FY2025 PAT / FY2025 net revenue,context_only,revenue_basis_break_context_only,QNS-2025-profit_after_tax_vnd_bn,QNS-2025-net_revenue_vnd_bn,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,calculated,Use as bounded context only; QNS/KDC basis/perimeter caveats prohibit unadjusted cross-company ranking.
