fiscal_year,net_revenue_vnd_bn,profit_after_tax_vnd_bn,total_assets_vnd_bn,owners_equity_vnd_bn,operating_cash_flow_vnd_bn,net_margin_pct,asset_turnover_x,equity_multiplier_x,dupont_roe_pct,roa_pct,roe_pct,cfo_to_revenue_pct,debt_to_equity_x,evidence_note
2016,13789759442477,2791112247395,17377826246400,11928438348061,2967742045801,20.2405,0.7935,1.4568,23.3988,16.0613,23.3988,21.5213,0.4568,Page-reviewed audited statement source
2017,13213640273416,2245997676081,17645056559773,11331827459740,2112950267691,16.9976,0.7546,1.5057,19.3119,12.8259,19.8203,15.9907,0.5571,FY2017 comparative/corresponding-column source from audited FY2018 filing
2018,17006475612957,3397479417622,17052805203719,10881212471803,3899584329845,19.9776,0.9803,1.5620,30.5900,19.5832,31.2234,22.9300,0.5672,Page-reviewed audited statement source
2019,18487541836508,4061678096011,20469607311898,12406967048025,3968297183142,21.9698,0.9854,1.6112,34.8819,21.6493,32.7371,21.4647,0.6498,Page-reviewed audited statement source
2020,23342734481397,4597571255342,25533406553025,14282984759612,4678338462250,19.6959,1.0148,1.7236,34.4517,19.9881,32.1891,20.0419,0.7877,Page-reviewed audited statement source
2021,27773635217733,5526176998515,30204150159141,17005693937381,5816347040287,19.8972,0.9966,1.7814,35.3238,19.8293,32.4960,20.9420,0.7761,Page-reviewed audited statement source
2022,26977273170028,5532807109081,33516643085520,22445645207154,2484192864010,20.5091,0.8467,1.6152,28.0488,17.3658,24.6498,9.2085,0.4932,Page-reviewed audited statement source
2023,28240992632837,7194170245145,40552688935453,26375559178420,6255585564207,25.4742,0.7626,1.5172,29.4715,19.4255,27.2759,22.1507,0.5375,Page-reviewed audited statement source
2024,30897225625237,7920537530999,27899960446330,11327826777302,9227283460294,25.6351,0.9027,1.8156,42.0150,23.1417,69.9211,29.8644,1.4630,Page-reviewed audited statement source; equity-base break requires note review
2025,30556536605941,6764148714587,33966203646418,18662141316311,2132330611639,22.1365,0.9878,2.0629,45.1094,21.8670,36.2453,6.9783,0.8201,Page-reviewed audited statement source; cash-conversion warning
