requirement_id,role_family,priority,requirement,evidence_artifacts,cv_signal,status,next_action
RA-01,Junior FP&A / Finance Analyst,Must have,Driver-based budgeting and rolling forecast,"FP&A Model v2; forecast governance; snapshot template","Budgeting, rolling forecast, version control",COMPLETE_WITH_CAVEAT,"Add redacted real pre-close snapshot (Gate A)"
RA-02,Junior FP&A / Finance Analyst,Must have,Actual vs budget/forecast variance and root cause,"PVM bridge; variance analysis; CFO memo","Price-volume-mix variance bridge",COMPLETE,"Add observed Bias/WAPE with Gate A"
RA-03,Junior FP&A / Finance Analyst,Must have,P&L ownership and profitability,"Product/channel/customer profitability; gross-to-net","P&L ownership and contribution margin",COMPLETE,Explain accounting-policy boundary
RA-04,Junior FP&A / Finance Analyst,Must have,Working capital and cash visibility,"Working Capital; AR/AP; debt/liquidity","Cash conversion and liquidity risks",COMPLETE_WITH_CAVEAT,Add reconciled cash-flow statement if sourced
RA-05,Business Finance / Commercial Finance Analyst,Must have,Pricing promotion trade terms and ROI,"D2C; promotion/pricing; commercial profitability","Pricing, promotion ROI, volume-to-value",COMPLETE_WITH_CAVEAT,Add real promotion post-mortem if available
RA-06,Business Finance / Commercial Finance Analyst,Must have,Business partnering and recommendation,"CFO memo; management deck; interview talk track","Cross-functional decision support",COMPLETE,Practice live stakeholder challenge
RA-07,Junior FP&A / Finance Analyst,Must have,Scenario modelling and business cases,"Forecast scenarios; Monte Carlo; M&A accretion/dilution","Sensitivity and investment case",COMPLETE,Keep assumptions synthetic and downside visible
RA-08,Finance Data Analyst,Plus,Power BI and finance data structures,"Model contract; DAX pack; PBIP manifest","Power BI-ready semantic model",COMPLETE_WITH_CAVEAT,Build native PBIX and QA-01–QA-18 (Gate B)
RA-09,Junior FP&A / Finance Analyst,Must have,Management reporting and communication,"Executive output; CFO memo; website","Management reporting and English narrative",COMPLETE,Replace personal placeholders in CV
RA-10,Junior FP&A / Finance Analyst,Must have,Controls and data quality,"Source registry; hidden truth tests; validators; evidence matrix","Audit-ready checks and evidence boundary",COMPLETE,Demonstrate failure/remediation story
RA-11,Junior FP&A / Finance Analyst,Important,Accounting/ERP familiarity,"Accrual AR/AP logic; control notes","Accounting fundamentals; ERP familiarity to develop",PARTIAL,Do not claim SAP/ERP production experience
RA-12,Finance Data Analyst,Plus,Reproducible analysis and QA,"Node validators; GitHub CI; CSV contracts","Automated QA and reproducibility",COMPLETE,Keep CI green after external gates
