decision_id,decision,proposed_design,approval_status,approved_design,approver,approved_at,change_reason
1,FMCG / consumer sub-sector,Branded packaged foods and beverages with repeat-purchase demand,PROPOSED,,,,
2,Owned physical stores,No owned-store network in the core case,PROPOSED,,,,
3,SSSG / sales per m²,Not applicable to core case; activate only in a separate owned-store scenario,PROPOSED,,,,
4,Company,VietNova Consumer JSC (synthetic company),PROPOSED,,,,
5,Brands / categories,VietSpice seasonings; QuickBowl convenience foods; PulseUp beverages,PROPOSED,,,,
6,SKU depth,36 SKUs across the three brands,PROPOSED,,,,
7,Channels,General Trade; Modern Trade; Marketplace; D2C; Wholesale,PROPOSED,,,,
8,Customer structure,24 named customers plus long-tail groups,PROPOSED,,,,
9,Geography,North; Central; South,PROPOSED,,,,
10,Commercial P&L,Gross Sales to discounts/returns to Net Sales to COGS to Gross Profit to commercial costs to Contribution Profit to OPEX to Operating Profit,PROPOSED,,,,
11,Operating-driver tree,Revenue equals active customers/outlets times order frequency times units per order times net price; contribution waterfall follows variable costs,PROPOSED,,,,
12,Working capital,Invoice-level AR/AP; weekly inventory; DSO/DIO/DPO; CCC; aging; write-off/shrinkage,PROPOSED,,,,
13,Liquidity / debt,Minimum-cash policy; revolver limit/rate; scheduled principal; stress scenarios; no unsupported covenant claim,PROPOSED,,,,
14,Management questions,20-question set covering growth-to-profit; variance; pricing; promotion; profitability; inventory; CCC; forecast risk; liquidity; allocation,PROPOSED,,,,
15,Peer set,MCH commercial anchor; VNM long-run benchmark; QNS input-cost benchmark; KDC portfolio-change context,PROPOSED,,,,
16,External sources,Official annual reports and exchange filings only; retain page/unit/scope/basis; no aggregator backfill,PROPOSED,,,,
17,Claim governance,OBSERVED; SIMULATED; DERIVED; ASSUMPTION; INDEXED_ONLY; no unsupported LIVE_INTERNAL or causal claim,PROPOSED,,,,
18,Hidden-truth events,Price realization leakage; promotion cannibalization; stockout/wastage; mix shift; DSO stretch; forecast bias,PROPOSED,,,,
19,Promotion evaluation,Pre/post ROI with baseline; incremental volume; spend; cannibalization; contribution; stop-loss hurdle; no causal language without counterfactual,PROPOSED,,,,
20,Pricing decision framework,List-price and net-realization scenarios with elasticity; cost inflation; CM bridge; break-even and target-margin price,PROPOSED,,,,
