company,ticker,fiscal_year,net_revenue_vnd_bn,gross_profit_vnd_bn,operating_profit_vnd_bn,profit_before_tax_vnd_bn,profit_after_tax_vnd_bn,total_assets_vnd_bn,owners_equity_vnd_bn,operating_cash_flow_vnd_bn,source_document,source_url,page_anchor,source_status,comparability_note
Vinamilk,VNM,2009,10613.770890800,3878.709197616,2595.399248273,2731.358267542,2375.692853224,8482.035850502,6455.474592983,3096.502889604,VNM_Annual_Report_2010.pdf,https://drive.google.com/file/d/1odK3EfOC89Zj0DagGdhuTaO_JtGWLMZD/view,6-11 comparative_2009,reported_statement_verified,Audited VAS consolidated FY2010 filing comparative column
Vinamilk,VNM,2010,15752.865999425,5173.657870228,3642.656452833,4251.207423608,3616.185949180,10773.032295860,7964.436590282,2018.774046744,VNM_Annual_Report_2011.pdf,https://drive.google.com/file/d/11ZPUwIM_Sl_i8FUWUATCPoetHoVlnvDs/view,72-76 comparative_2010,reported_statement_verified,Audited VAS consolidated FY2011 filing comparative column
Vinamilk,VNM,2011,21627.428893109,6588.123514745,4750.579813688,4978.991895071,4218.181708937,15582.671550751,12477.205196484,2411.168612240,VNM_Annual_Report_2011.pdf,https://drive.google.com/file/d/11ZPUwIM_Sl_i8FUWUATCPoetHoVlnvDs/view,72-76,reported_statement_verified,Exact audited VAS consolidated FY2011 statements
Vinamilk,VNM,2012,26561.574179964,9076.743932776,6629.824778189,6929.668017079,5819.454717083,19697.868420379,15493.096595858,5294.567838319,VNM_Annual_Report_2013.pdf,https://drive.google.com/file/d/1Mnh5QV6ZRPSCQoBDCClR4Pd3CjIZDt1D/view,145-149 comparative_2012,reported_statement_verified,Audited VAS consolidated FY2013 filing comparative column
Vinamilk,VNM,2013,30948.602127306,11182.808446832,7711.678203942,8010.256856719,6534.107315627,22875.414056636,17545.489315423,6251.743363451,VNM_Annual_Report_2013.pdf,https://drive.google.com/file/d/1Mnh5QV6ZRPSCQoBDCClR4Pd3CjIZDt1D/view,145-149,reported_statement_verified,Exact audited VAS consolidated FY2013 statements
Vinamilk,VNM,2014,35072.015514696,11391.818637320,7463.813901364,7613.368860918,6068.202966308,25770.138060957,19800.236483508,5334.982177574,VNM_Annual_Report_2015.pdf,https://drive.google.com/file/d/1F2fn3TYgQMkl_C7xoasOAGPOzbCXY8R8/view,116-123 comparative_2014,reported_statement_verified,Audited VAS consolidated FY2015 filing comparative column
Vinamilk,VNM,2015,40080.384510746,16262.414942236,9271.226352421,9367.141056385,7769.552751697,27478.175944352,20923.915747585,7659.151107688,VNM_Annual_Report_2015.pdf,https://drive.google.com/file/d/1F2fn3TYgQMkl_C7xoasOAGPOzbCXY8R8/view,116-123,reported_statement_verified,Exact audited VAS consolidated FY2015 statements
Vinamilk,VNM,2016,46794.339400274,22335.706004279,11160.290659535,11237.626570896,9363.829777490,29378.656325464,22405.949288585,8389.781306333,VNM_Annual_Report_2016.pdf,https://drive.google.com/file/d/1YqaYtnCj8DpMVYK16VXNH0Hop4WrS5xy/view,134-137,reported_statement_verified,Exact VAS consolidated statements; 2016 statement basis
Vinamilk,VNM,2017,51041.075885109,24234.144818633,12226.418187645,12228.945384136,10278.174553166,34667.318837497,23873.057813861,9601.594525092,VNM_Annual_Report_2017.pdf,https://drive.google.com/file/d/1uDazzCYYEL36ro4mdCeSq_Vaz-6yGQHF/view,132-137,reported_statement_verified,Exact VAS consolidated statements; expanded consolidation perimeter
Vinamilk,VNM,2018,52561.949970592,24611.406469091,11876.513440752,12051.696266123,10205.629711239,37366.108654179,26271.369291927,8140.239032649,VNM_Annual_Report_2018.pdf,https://drive.google.com/file/d/1REq-Jx_a_U5E7e0mHi6Ylp9BpzrqE5Fp/view,144-149,reported_statement_verified,Exact VAS consolidated statements; 2017 comparative shown
Vinamilk,VNM,2019,56318.122762744,26572.216650627,12797.090115372,12795.709638557,10554.331880891,44699.873386034,29684.045242154,11968.576000000,VNM_Annual_Report_2019.pdf,https://drive.google.com/file/d/1EVV5bV5h12m8LOYsB2b_HrUIBIf5T4-I/view,142-147,reported_statement_verified,Exact VAS consolidated statements; CFO normalized from million VND
Vinamilk,VNM,2020,59636.286225547,27668.623387708,13539.380824416,13518.536087024,11235.732234125,48432.480673629,33647.122229822,10180.169388228,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,140-145,reported_statement_verified,Exact VAS consolidated statements; statement revenue differs from summary KPI

