company,ticker,fiscal_year,net_revenue_vnd_bn,operating_profit_vnd_bn,profit_before_tax_vnd_bn,profit_after_tax_vnd_bn,total_assets_vnd_bn,source_document,source_url,source_status,comparability_note
Vinamilk,VNM,2021,60919,12728,12922,10633,53332,VNM_Annual_Report_2025.pdf,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,reported_summary_verified,"VAS summary; latest report presents 2021-2025 series"
Vinamilk,VNM,2022,59956,10491,10496,8578,48483,VNM_Annual_Report_2025.pdf,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,reported_summary_verified,"VAS summary; latest report presents 2021-2025 series"
Vinamilk,VNM,2023,60369,10904,10968,9019,52673,VNM_Annual_Report_2025.pdf,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,reported_summary_verified,"VAS summary; latest report presents 2021-2025 series"
Vinamilk,VNM,2024,61783,11594,11600,9453,55049,VNM_Annual_Report_2025.pdf,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,reported_summary_verified,"VAS summary; latest report presents 2021-2025 series"
Vinamilk,VNM,2025,63646,11660,11650,9414,53312,VNM_Annual_Report_2025.pdf,https://drive.google.com/file/d/19LdaHym1AcXNaktAR9cXLSV3C7ykgBXW/view,reported_summary_verified,"VAS summary; differs from IFRS revenue line; basis retained"
Quang Ngai Sugar,QNS,2021,7335,,1439,1254,9876,QNS_Annual_Report_2025.pdf,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,reported_summary_verified,"Annual report summary table; consolidated VND bn"
Quang Ngai Sugar,QNS,2022,8255,,1505,1287,10266,QNS_Annual_Report_2025.pdf,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,reported_summary_verified,"Annual report summary table; consolidated VND bn"
Quang Ngai Sugar,QNS,2023,10021,,2447,2183,12053,QNS_Annual_Report_2025.pdf,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,reported_summary_verified,"Annual report summary table; consolidated VND bn"
Quang Ngai Sugar,QNS,2024,10243,,2645,2377,13808,QNS_Annual_Report_2025.pdf,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,reported_summary_verified,"Annual report summary table; consolidated VND bn"
Quang Ngai Sugar,QNS,2025,10575,,2212,1916,14350,QNS_Annual_Report_2025.pdf,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,reported_summary_verified,"Annual report summary table; consolidated VND bn"
KIDO Group,KDC,2021,10497,,688,,14005,KDC_Annual_Report_2025.pdf,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,reported_summary_verified,"Infographic series; PAT requires statement-level review"
KIDO Group,KDC,2022,12535,,511,,14073,KDC_Annual_Report_2025.pdf,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,reported_summary_verified,"Infographic series; PAT requires statement-level review"
KIDO Group,KDC,2023,8650,,323,,12501,KDC_Annual_Report_2025.pdf,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,reported_summary_verified,"Infographic series; PAT requires statement-level review"
KIDO Group,KDC,2024,8324,,105,,13480,KDC_Annual_Report_2025.pdf,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,reported_summary_verified,"Infographic series; PAT requires statement-level review"
KIDO Group,KDC,2025,9055,,727,587,13907,KDC_Annual_Report_2025.pdf,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,reported_summary_verified,"Infographic series; 2025 PAT also stated in narrative"
