scenario,fiscal_year,period,revenue_vnd_bn,ebit_vnd_bn,nopat_vnd_bn,da_vnd_bn,capex_vnd_bn,dnwc_vnd_bn,fcff_vnd_bn,wacc,terminal_growth,discount_factor,pv_fcff_vnd_bn,terminal_value_vnd_bn,pv_terminal_vnd_bn,evidence_class
Base,2026,1,32389.928802,8097.482201,6477.98576,485.848932,583.018718,161.949644,6218.86633,0.12,0.03,0.892857,5552.559223,,,ANALYST_ASSUMPTION_REHEARSAL
Base,2027,2,34333.32453,8583.331133,6866.664906,514.999868,617.999842,171.666623,6591.99831,0.12,0.03,0.797194,5255.100693,,,ANALYST_ASSUMPTION_REHEARSAL
Base,2028,3,36393.324002,9098.331001,7278.6648,545.89986,655.079832,181.96662,6987.518208,0.12,0.03,0.71178,4973.577442,,,ANALYST_ASSUMPTION_REHEARSAL
Base,2029,4,38576.923442,9644.230861,7715.384688,578.653852,694.384622,192.884617,7406.769301,0.12,0.03,0.635518,4707.135793,,,ANALYST_ASSUMPTION_REHEARSAL
Base,2030,5,40891.538849,10222.884712,8178.30777,613.373083,736.047699,204.457694,7851.175459,0.12,0.03,0.567427,4454.967804,89852.341364,50984.631539,ANALYST_ASSUMPTION_REHEARSAL
Upside,2026,1,33001.059534,8910.286074,7128.228859,495.015893,594.019072,99.003179,6930.222502,0.11,0.03,0.900901,6243.443696,,,ANALYST_ASSUMPTION_REHEARSAL
Upside,2027,2,35641.144297,9623.10896,7698.487168,534.617164,641.540597,106.923433,7484.640302,0.11,0.03,0.811622,6074.701974,,,ANALYST_ASSUMPTION_REHEARSAL
Upside,2028,3,38492.435841,10392.957677,8314.366142,577.386538,692.863845,115.477308,8083.411527,0.11,0.03,0.731191,5910.52084,,,ANALYST_ASSUMPTION_REHEARSAL
Upside,2029,4,41571.830708,11224.394291,8979.515433,623.577461,748.292953,124.715492,8730.084449,0.11,0.03,0.658731,5750.777033,,,ANALYST_ASSUMPTION_REHEARSAL
Upside,2030,5,44897.577165,12122.345835,9697.876668,673.463657,808.156389,134.692731,9428.491205,0.11,0.03,0.593451,5595.350627,121391.82426,72040.139322,ANALYST_ASSUMPTION_REHEARSAL
Downside,2026,1,31167.667338,6856.886814,5348.371715,467.51501,685.688681,249.341339,4880.856705,0.14,0.02,0.877193,4281.45325,,,ANALYST_ASSUMPTION_REHEARSAL
Downside,2027,2,31791.020685,6994.024551,5455.33915,476.86531,699.402455,254.328165,4978.473839,0.14,0.02,0.769468,3830.773961,,,ANALYST_ASSUMPTION_REHEARSAL
Downside,2028,3,32426.841099,7133.905042,5564.445933,486.402616,713.390504,259.414729,5078.043316,0.14,0.02,0.674972,3427.534596,,,ANALYST_ASSUMPTION_REHEARSAL
Downside,2029,4,33075.37792,7276.583143,5675.734851,496.130669,727.658314,264.603023,5179.604182,0.14,0.02,0.59208,3066.741481,,,ANALYST_ASSUMPTION_REHEARSAL
Downside,2030,5,33736.885479,7422.114805,5789.249548,506.053282,742.211481,269.895084,5283.196266,0.14,0.02,0.519369,2743.926588,44907.168261,23323.376,ANALYST_ASSUMPTION_REHEARSAL
