month,category,opening_units,purchases_units,sales_units,transfers_in_units,transfers_out_units,writeoff_units,shrinkage_units,closing_units,unit_cost_vnd,closing_inventory_value_vnd,aging_0_30_vnd,aging_31_60_vnd,aging_61_90_vnd,aging_90_plus_vnd,obsolete_reserve_vnd,wastage_rate_pct,shrinkage_rate_pct
2026-01-01,VietSpice,10000,32400,26000,0,0,80,40,16280,45000,732600000,402930000,183150000,87912000,58608000,23443200,0.1887,0.0943
2026-01-01,QuickBowl,9000,28400,21000,0,0,120,60,16220,38000,616360000,277362000,154090000,92454000,92454000,55472400,0.3209,0.1604
2026-01-01,PulseUp,12000,40400,30000,0,0,100,70,22230,30000,666900000,333450000,180063000,100035000,53352000,26676000,0.1908,0.1336
2026-02-01,VietSpice,16280,32800,25500,0,0,80,40,23460,45000,1055700000,580635000,263925000,126684000,84456000,33782400,0.163,0.0815
2026-02-01,QuickBowl,16220,28800,20500,0,0,120,60,24340,38000,924920000,416214000,231230000,138738000,138738000,83242800,0.2665,0.1333
2026-02-01,PulseUp,22230,40300,29500,0,0,100,70,32860,30000,985800000,492900000,266166000,147870000,78864000,39432000,0.1599,0.1119
2026-03-01,VietSpice,23460,32000,25000,0,0,80,40,30340,45000,1365300000,750915000,341325000,163836000,109224000,43689600,0.1442,0.0721
2026-03-01,QuickBowl,24340,28000,20000,0,0,120,60,32160,38000,1222080000,549936000,305520000,183312000,183312000,109987200,0.2293,0.1146
2026-03-01,PulseUp,32860,39000,29000,0,0,100,70,42690,30000,1280700000,640350000,345789000,192105000,102456000,51228000,0.1392,0.0974
2026-04-01,VietSpice,30340,32400,26500,0,100,80,40,36020,45000,1620900000,891495000,405225000,194508000,129672000,51868800,0.1277,0.0639
2026-04-01,QuickBowl,32160,28400,21500,0,0,120,60,38880,38000,1477440000,664848000,369360000,221616000,221616000,132969600,0.1982,0.0991
2026-04-01,PulseUp,42690,40900,30500,300,0,100,70,53220,30000,1596600000,798300000,431082000,239490000,127728000,63864000,0.1192,0.0834
2026-05-01,VietSpice,36020,32800,27000,0,0,80,40,41700,45000,1876500000,1032075000,469125000,225180000,150120000,60048000,0.1162,0.0581
2026-05-01,QuickBowl,38880,28800,22000,0,0,120,60,45500,38000,1729000000,778050000,432250000,259350000,259350000,155610000,0.1773,0.0887
2026-05-01,PulseUp,53220,41800,31000,0,0,100,70,63850,30000,1915500000,957750000,517185000,287325000,153240000,76620000,0.1052,0.0737
2026-06-01,VietSpice,41700,32000,27500,0,0,80,40,46080,45000,2073600000,1140480000,518400000,248832000,165888000,66355200,0.1085,0.0543
2026-06-01,QuickBowl,45500,28000,22500,0,0,120,60,50820,38000,1931160000,869022000,482790000,289674000,289674000,173804400,0.1633,0.0816
2026-06-01,PulseUp,63850,41500,31500,0,0,100,70,73680,30000,2210400000,1105200000,596808000,331560000,176832000,88416000,0.0949,0.0664
2026-07-01,VietSpice,46080,32400,28000,0,0,80,40,50360,45000,2266200000,1246410000,566550000,271944000,181296000,72518400,0.1019,0.051
2026-07-01,QuickBowl,50820,28400,24000,0,0,160,80,54980,38000,2089240000,835696000,522310000,355170800,376063200,225637920,0.202,0.101
2026-07-01,PulseUp,73680,42400,32000,0,0,100,70,83910,30000,2517300000,1258650000,679671000,377595000,201384000,100692000,0.0861,0.0603
2026-08-01,VietSpice,50360,32800,27500,0,100,80,40,55440,45000,2494800000,1372140000,623700000,299376000,199584000,79833600,0.0963,0.0482
2026-08-01,QuickBowl,54980,28800,23500,0,0,160,80,60040,38000,2281520000,912608000,570380000,387858400,410673600,246404160,0.191,0.0955
2026-08-01,PulseUp,83910,42300,31500,300,0,100,70,94840,30000,2845200000,1422600000,768204000,426780000,227616000,113808000,0.079,0.0553
2026-09-01,VietSpice,55440,32000,27000,0,0,80,40,60320,45000,2714400000,1492920000,678600000,325728000,217152000,86860800,0.0915,0.0457
2026-09-01,QuickBowl,60040,28000,23000,0,0,160,80,64800,38000,2462400000,984960000,615600000,418608000,443232000,265939200,0.1817,0.0909
2026-09-01,PulseUp,94840,41000,31000,0,0,100,70,104670,30000,3140100000,1570050000,847827000,471015000,251208000,125604000,0.0736,0.0515
2026-10-01,VietSpice,60320,32400,26500,0,0,80,40,66100,45000,2974500000,1635975000,743625000,356940000,237960000,95184000,0.0863,0.0431
2026-10-01,QuickBowl,64800,28400,22500,0,0,160,80,70460,38000,2677480000,1070992000,669370000,455171600,481946400,289167840,0.1717,0.0858
2026-10-01,PulseUp,104670,40900,30500,0,0,100,70,114900,30000,3447000000,1723500000,930690000,517050000,275760000,137880000,0.0687,0.0481
2026-11-01,VietSpice,66100,32800,26000,0,0,80,40,72780,45000,3275100000,1801305000,818775000,393012000,262008000,104803200,0.0809,0.0404
2026-11-01,QuickBowl,70460,28800,22000,0,0,160,80,77020,38000,2926760000,1170704000,731690000,497549200,526816800,316090080,0.1612,0.0806
2026-11-01,PulseUp,114900,40800,30000,0,0,100,70,125530,30000,3765900000,1882950000,1016793000,564885000,301272000,150636000,0.0642,0.045
2026-12-01,VietSpice,72780,32000,25500,0,100,80,40,79060,45000,3557700000,1956735000,889425000,426924000,284616000,113846400,0.0764,0.0382
2026-12-01,QuickBowl,77020,28000,21500,0,0,160,80,83280,38000,3164640000,1265856000,791160000,537988800,569635200,341781120,0.1524,0.0762
2026-12-01,PulseUp,125530,39500,29500,300,0,100,70,135660,30000,4069800000,2034900000,1098846000,610470000,325584000,162792000,0.0605,0.0423
