company,ticker,fiscal_year,source_document,source_layer,review_status,required_metrics
Vinamilk,VNM,2006,VNM_Annual_Report_2006.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2007,VNM_Annual_Report_2007.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2008,VNM_Annual_Report_2008.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2009,VNM_Annual_Report_2009.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2010,VNM_Annual_Report_2010.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2011,VNM_Annual_Report_2011.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2012,VNM_Annual_Report_2012.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2013,VNM_Annual_Report_2013.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2014,VNM_Annual_Report_2014.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2015,VNM_Annual_Report_2015.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2016,VNM_Annual_Report_2016.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2017,VNM_Annual_Report_2017.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2018,VNM_Annual_Report_2018.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2019,VNM_Annual_Report_2019.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Vinamilk,VNM,2020,VNM_Annual_Report_2020.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Quang Ngai Sugar,QNS,2016,QNS_Annual_Report_2016.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Quang Ngai Sugar,QNS,2017,QNS_Annual_Report_2017.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Quang Ngai Sugar,QNS,2018,QNS_Annual_Report_2018.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Quang Ngai Sugar,QNS,2019,QNS_Annual_Report_2019.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
Quang Ngai Sugar,QNS,2020,QNS_Annual_Report_2020.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
KIDO Group,KDC,2016,KDC_Annual_Report_2016.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
KIDO Group,KDC,2017,KDC_Annual_Report_2017.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
KIDO Group,KDC,2018,KDC_Annual_Report_2018.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
KIDO Group,KDC,2019,KDC_Annual_Report_2019.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
KIDO Group,KDC,2020,KDC_Annual_Report_2020.pdf,official_annual_report,statement_review_required,"revenue|gross_profit|operating_profit|pbt|pat|assets|equity|cfo"
