record_id,company_id,ticker,company_name,peer_role,period_type,fiscal_year,fiscal_quarter,start_date,end_date,months_in_period,scope,audited_status,currency,scale,accounting_standard,restatement_status,fiscal_year_end,metric,metric_original_label,value,unit,value_vnd_bn,value_status,null_reason,reported_or_calculated,calculation_definition,source_document_id,source_url,source_page,source_file_drive_id,comparability_status,comparability_note,confidence,review_status,extraction_method,extraction_timestamp_utc
VNM-2016-net_revenue_vnd_bn,VNM,VNM,Vinamilk,financial_benchmark,FY,2016,,2016-01-01,2016-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,current_authoritative,2016-12-31,net_revenue_vnd_bn,Net revenue,46965,VND_bn,46965,reported_value,,reported,,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,,1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw,comparable,2015-2020 financial summary table; consolidated VND bn,high,approved,table,2026-08-30T00:00:00Z
VNM-2016-gross_profit_vnd_bn,VNM,VNM,Vinamilk,financial_benchmark,FY,2016,,2016-01-01,2016-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,current_authoritative,2016-12-31,gross_profit_vnd_bn,Gross profit,,VND_bn,,not_available_in_source,Source layer does not expose Gross profit for FY2016,reported,,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,,1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw,comparable,2015-2020 financial summary table; consolidated VND bn,high,approved,table,2026-08-30T00:00:00Z
VNM-2016-operating_profit_vnd_bn,VNM,VNM,Vinamilk,financial_benchmark,FY,2016,,2016-01-01,2016-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,current_authoritative,2016-12-31,operating_profit_vnd_bn,Operating profit,,VND_bn,,not_available_in_source,Source layer does not expose Operating profit for FY2016,reported,,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,,1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw,comparable,2015-2020 financial summary table; consolidated VND bn,high,approved,table,2026-08-30T00:00:00Z
VNM-2016-profit_before_tax_vnd_bn,VNM,VNM,Vinamilk,financial_benchmark,FY,2016,,2016-01-01,2016-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,current_authoritative,2016-12-31,profit_before_tax_vnd_bn,Profit before tax,11238,VND_bn,11238,reported_value,,reported,,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,,1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw,comparable,2015-2020 financial summary table; consolidated VND bn,high,approved,table,2026-08-30T00:00:00Z
VNM-2016-profit_after_tax_vnd_bn,VNM,VNM,Vinamilk,financial_benchmark,FY,2016,,2016-01-01,2016-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,current_authoritative,2016-12-31,profit_after_tax_vnd_bn,Profit after tax,9364,VND_bn,9364,reported_value,,reported,,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,,1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw,comparable,2015-2020 financial summary table; consolidated VND bn,high,approved,table,2026-08-30T00:00:00Z
VNM-2016-total_assets_vnd_bn,VNM,VNM,Vinamilk,financial_benchmark,FY,2016,,2016-01-01,2016-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,current_authoritative,2016-12-31,total_assets_vnd_bn,Total assets,29379,VND_bn,29379,reported_value,,reported,,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,,1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw,comparable,2015-2020 financial summary table; consolidated VND bn,high,approved,table,2026-08-30T00:00:00Z
VNM-2016-owners_equity_vnd_bn,VNM,VNM,Vinamilk,financial_benchmark,FY,2016,,2016-01-01,2016-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,current_authoritative,2016-12-31,owners_equity_vnd_bn,Owners' equity,,VND_bn,,not_available_in_source,Source layer does not expose Owners' equity for FY2016,reported,,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,,1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw,comparable,2015-2020 financial summary table; consolidated VND bn,high,approved,table,2026-08-30T00:00:00Z
VNM-2016-operating_cash_flow_vnd_bn,VNM,VNM,Vinamilk,financial_benchmark,FY,2016,,2016-01-01,2016-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,current_authoritative,2016-12-31,operating_cash_flow_vnd_bn,Operating cash flow,,VND_bn,,not_available_in_source,Source layer does not expose Operating cash flow for FY2016,reported,,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,,1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw,comparable,2015-2020 financial summary table; consolidated VND bn,high,approved,table,2026-08-30T00:00:00Z
VNM-2017-net_revenue_vnd_bn,VNM,VNM,Vinamilk,financial_benchmark,FY,2017,,2017-01-01,2017-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,current_authoritative,2017-12-31,net_revenue_vnd_bn,Net revenue,51135,VND_bn,51135,reported_value,,reported,,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,,1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw,comparable,2015-2020 financial summary table; consolidated VND bn,high,approved,table,2026-08-30T00:00:00Z
VNM-2017-gross_profit_vnd_bn,VNM,VNM,Vinamilk,financial_benchmark,FY,2017,,2017-01-01,2017-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,current_authoritative,2017-12-31,gross_profit_vnd_bn,Gross profit,,VND_bn,,not_available_in_source,Source layer does not expose Gross profit for FY2017,reported,,VNM_Annual_Report_2020.pdf,https://drive.google.com/file/d/1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw/view,,1jQHfi-BgzC6l2Xk7U_EA4oLXUYaMI8dw,comparable,2015-2020 financial summary table; consolidated VND bn,high,approved,table,2026-08-30T00:00:00Z
