fiscal_year,net_revenue_vnd_bn,gross_profit_vnd_bn,operating_profit_vnd_bn,profit_before_tax_vnd_bn,profit_after_tax_vnd_bn,total_assets_vnd_bn,owners_equity_vnd_bn,operating_cash_flow_vnd_bn,revenue_yoy_pct,pat_yoy_pct,gross_margin_pct,operating_margin_pct,pat_margin_pct,cfo_to_pat_pct,equity_ratio_pct,roa_proxy_pct,data_quality_note
2016,13789759442477,6249818487562,3162737584260,3162852516137,2791112247395,17377826246400,11928438348061,2967742045801,,,45.3222,22.9354,20.2405,106.3283,68.6417,16.0613,Page-reviewed audited statement source
2017,13213640273416,6032581436138,2624361539165,2621967572364,2245997676081,17645056559773,11331827459740,2112950267691,-4.1779,-19.5304,45.6542,19.8610,16.9976,94.0762,64.2210,12.8259,FY2017 comparative/corresponding-column source from audited FY2018 filing
2018,17006475612957,7618393349326,3913307416776,3894405218185,3397479417622,17052805203719,10881212471803,3899584329845,28.7039,51.2682,44.7970,23.0107,19.9776,114.7787,63.8089,19.5832,Page-reviewed audited statement source
2019,18487541836508,7957673522563,4512785562686,4491779313082,4061678096011,20469607311898,12406967048025,3968297183142,8.7088,19.5497,43.0434,24.4099,21.9698,97.7009,60.6117,21.6493,Page-reviewed audited statement source
2020,23342734481397,9919214140351,5406911525859,5391027786095,4597571255342,25533406553025,14282984759612,4678338462250,26.2620,13.1939,42.4938,23.1631,19.6959,101.7567,55.9384,19.9881,Page-reviewed audited statement source
2021,27773635217733,11790939513965,6413244065678,6410566376886,5526176998515,30204150159141,17005693937381,5816347040287,18.9819,20.1977,42.4537,23.0911,19.8972,105.2508,56.3025,19.8293,Page-reviewed audited statement source
2022,26977273170028,11131514555984,6266111689172,6243360910765,5532807109081,33516643085520,22445645207154,2484192864010,-2.8673,0.1200,41.2626,23.2274,20.5091,44.8993,66.9687,17.3658,Page-reviewed audited statement source
2023,28240992632837,12974368337730,8094755789430,8098846606679,7194170245145,40552688935453,26375559178420,6255585564207,4.6844,30.0275,45.9416,28.6631,25.4742,86.9535,65.0402,19.4255,Page-reviewed audited statement source
2024,30897225625237,14404685240219,9012591353499,9004312866417,7920537530999,27899960446330,11327826777302,9227283460294,9.4056,10.0966,46.6213,29.1696,25.6351,116.4982,40.6016,23.1417,Page-reviewed audited statement source
2025,30556536605941,13906342626057,7764684316903,7764923372276,6764148714587,33966203646418,18662141316311,2132330611639,-1.1027,-14.5999,45.5102,25.4109,22.1365,31.5240,54.9433,21.8670,Page-reviewed audited statement source
