forecast_version,forecast_created_date,target_month,company,brand,channel,forecast_revenue_vnd,actual_revenue_vnd,actual_available_date,as_of_date,eligibility_status,error_vnd,abs_error_vnd,snapshot_status,source_model_version,approver,actual_period_close_date,exception_note
FE-2025-01,2024-12-20,2025-01,VietNova Consumer JSC,NovaDaily,Modern Trade,1050,1000,2025-02-15,2025-12-31,ELIGIBLE,50,50,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-01-31,
FE-2025-01,2024-12-20,2025-02,VietNova Consumer JSC,NovaDaily,Modern Trade,1102.5,1050,2025-03-15,2025-12-31,ELIGIBLE,52.5,52.5,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-02-28,
FE-2025-01,2024-12-20,2025-03,VietNova Consumer JSC,NovaDaily,Modern Trade,1155,1100,2025-04-15,2025-12-31,ELIGIBLE,55,55,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-03-31,
FE-2025-01,2024-12-20,2025-04,VietNova Consumer JSC,NovaDaily,Modern Trade,1207.5,1150,2025-05-15,2025-12-31,ELIGIBLE,57.5,57.5,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-04-30,
FE-2025-01,2024-12-20,2025-05,VietNova Consumer JSC,NovaDaily,Modern Trade,1260,1200,2025-06-15,2025-12-31,ELIGIBLE,60,60,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-05-31,
FE-2025-01,2024-12-20,2025-06,VietNova Consumer JSC,NovaDaily,Modern Trade,1312.5,1250,2025-07-15,2025-12-31,ELIGIBLE,62.5,62.5,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-06-30,
FE-2025-01,2024-12-20,2025-07,VietNova Consumer JSC,NovaDaily,Modern Trade,1365,1300,2025-08-15,2025-12-31,ELIGIBLE,65,65,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-07-31,
FE-2025-01,2024-12-20,2025-08,VietNova Consumer JSC,NovaDaily,Modern Trade,1417.5,1350,2025-09-15,2025-12-31,ELIGIBLE,67.5,67.5,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-08-31,
FE-2025-01,2024-12-20,2025-09,VietNova Consumer JSC,NovaDaily,Modern Trade,1470,1400,2025-10-15,2025-12-31,ELIGIBLE,70,70,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-09-30,
FE-2025-01,2024-12-20,2025-10,VietNova Consumer JSC,NovaDaily,Modern Trade,1522.5,1450,2025-11-15,2025-12-31,ELIGIBLE,72.5,72.5,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-10-31,
