company,ticker,fiscal_year,net_revenue_vnd_bn,gross_profit_vnd_bn,operating_profit_vnd_bn,profit_before_tax_vnd_bn,profit_after_tax_vnd_bn,total_assets_vnd_bn,owners_equity_vnd_bn,operating_cash_flow_vnd_bn,source_status,source_layer,revenue_basis,source_document,source_url,page_anchor,comparability_note,revenue_yoy_pct,gross_margin_pct,operating_margin_pct,pbt_margin_pct,pat_margin_pct,cfo_to_pat_pct,asset_turnover,equity_ratio,comparability_flag
Vinamilk,VNM,2006,6245.619,1567.505,620.247,662.774,659.890,3600.533,2738.383,499.471,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2007.pdf,https://drive.google.com/file/d/18bDh7lOfg3xUyJsdT-duGE7laymBYX3O/view,5-11 comparative_2006,First VAS 25 consolidated year; FY2006 restated comparative,,0.250977,0.099309,0.106118,0.105656,0.756900,1.734637,0.760549,statement_verified
Vinamilk,VNM,2007,6537.964,1701.681,865.129,955.381,963.448,5425.117,4315.937,313.478,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2008.pdf,https://drive.google.com/file/d/1u8m2YW31sizcckCXF2OJZAHE7JpDNHrb/view,4-10 comparative_2007,Audited VAS consolidated comparative; amounts reported in VND million normalized to VND bn; PAT exceeds PBT due deferred-tax benefit and minority-benefit presentation,0.046808,0.260277,0.132324,0.146128,0.147362,0.325371,1.205129,0.795547,statement_verified
Vinamilk,VNM,2008,8208.982,2598.013,1315.090,1371.313,1248.698,5966.959,4761.913,1269.759,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2009.pdf,https://drive.google.com/file/d/1Gf0kIBZUy6f4wQ1I5A9KXFOwN_A82rEa/view,5-11 comparative_2008,Audited VAS consolidated FY2009 filing comparative column; source amounts in VND million normalized to VND bn,0.255587,0.316484,0.160201,0.167050,0.152114,1.016866,1.375740,0.798047,statement_verified
Vinamilk,VNM,2009,10613.770890800,3878.709197616,2595.399248273,2731.358267542,2375.692853224,8482.035850502,6455.474592983,3096.502889604,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2010.pdf,https://drive.google.com/file/d/1odK3EfOC89Zj0DagGdhuTaO_JtGWLMZD/view,6-11 comparative_2009,Audited VAS consolidated FY2010 filing comparative column,0.292946,0.365441,0.244531,0.257341,0.223831,1.303410,1.251324,0.761076,statement_verified
Vinamilk,VNM,2010,15752.865999425,5173.657870228,3642.656452833,4251.207423608,3616.185949180,10773.032295860,7964.436590282,2018.774046744,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2011.pdf,https://drive.google.com/file/d/11ZPUwIM_Sl_i8FUWUATCPoetHoVlnvDs/view,72-76 comparative_2010,Audited VAS consolidated FY2011 filing comparative column,0.484191,0.328426,0.231238,0.269869,0.229557,0.558261,1.462250,0.739294,statement_verified
Vinamilk,VNM,2011,21627.428893109,6588.123514745,4750.579813688,4978.991895071,4218.181708937,15582.671550751,12477.205196484,2411.168612240,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2011.pdf,https://drive.google.com/file/d/11ZPUwIM_Sl_i8FUWUATCPoetHoVlnvDs/view,72-76,Exact audited VAS consolidated FY2011 statements,0.372920,0.304619,0.219655,0.230217,0.195039,0.571613,1.387915,0.800710,statement_verified
Vinamilk,VNM,2012,26561.574179964,9076.743932776,6629.824778189,6929.668017079,5819.454717083,19697.868420379,15493.096595858,5294.567838319,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2013.pdf,https://drive.google.com/file/d/1Mnh5QV6ZRPSCQoBDCClR4Pd3CjIZDt1D/view,145-149 comparative_2012,Audited VAS consolidated FY2013 filing comparative column,0.228143,0.341725,0.249602,0.260891,0.219093,0.909805,1.348449,0.786537,statement_verified
Vinamilk,VNM,2013,30948.602127306,11182.808446832,7711.678203942,8010.256856719,6534.107315627,22875.414056636,17545.489315423,6251.743363451,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2013.pdf,https://drive.google.com/file/d/1Mnh5QV6ZRPSCQoBDCClR4Pd3CjIZDt1D/view,145-149,Exact audited VAS consolidated FY2013 statements,0.165164,0.361335,0.249177,0.258825,0.211128,0.956786,1.352920,0.767002,statement_verified
Vinamilk,VNM,2014,35072.015514696,11391.818637320,7463.813901364,7613.368860918,6068.202966308,25770.138060957,19800.236483508,5334.982177574,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2015.pdf,https://drive.google.com/file/d/1F2fn3TYgQMkl_C7xoasOAGPOzbCXY8R8/view,116-123 comparative_2014,Audited VAS consolidated FY2015 filing comparative column,0.133234,0.324812,0.212814,0.217078,0.173021,0.879170,1.360956,0.768340,statement_verified
Vinamilk,VNM,2015,40080.384510746,16262.414942236,9271.226352421,9367.141056385,7769.552751697,27478.175944352,20923.915747585,7659.151107688,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2015.pdf,https://drive.google.com/file/d/1F2fn3TYgQMkl_C7xoasOAGPOzbCXY8R8/view,116-123,Exact audited VAS consolidated FY2015 statements,0.142802,0.405745,0.231316,0.233709,0.193849,0.985790,1.458626,0.761474,statement_verified
Vinamilk,VNM,2016,46794.339400274,22335.706004279,11160.290659535,11237.626570896,9363.829777490,29378.656325464,22405.949288585,8389.781306333,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2016.pdf,https://drive.google.com/file/d/1YqaYtnCj8DpMVYK16VXNH0Hop4WrS5xy/view,134-137,Exact VAS consolidated statements; 2016 statement basis,0.167512,0.477316,0.238497,0.240149,0.200106,0.895978,1.592801,0.762661,statement_verified
Vinamilk,VNM,2017,51041.075885109,24234.144818633,12226.418187645,12228.945384136,10278.174553166,34667.318837497,23873.057813861,9601.594525092,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2017.pdf,https://drive.google.com/file/d/1uDazzCYYEL36ro4mdCeSq_Vaz-6yGQHF/view,132-137,Exact VAS consolidated statements; expanded consolidation perimeter,0.090753,0.474797,0.239541,0.239590,0.201371,0.934173,1.472311,0.688633,statement_verified
Vinamilk,VNM,2018,52561.949970592,24611.406469091,11876.513440752,12051.696266123,10205.629711239,37366.108654179,26271.369291927,8140.239032649,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2018.pdf,https://drive.google.com/file/d/1REq-Jx_a_U5E7e0mHi6Ylp9BpzrqE5Fp/view,144-149,Exact VAS consolidated statements; 2017 comparative shown,0.029797,0.468236,0.225953,0.229286,0.194164,0.797622,1.406674,0.703080,statement_verified
Vinamilk,VNM,2019,56318.122762744,26572.216650627,12797.090115372,12795.709638557,10554.331880891,44699.873386034,29684.045242154,11968.576000000,reported_statement_verified,statement,VAS_net_revenue,VNM_Annual_Report_2019.pdf,https://drive.google.com/file/d/1EVV5bV5h12m8LOYsB2b_HrUIBIf5T4-I/view,142-147,Exact VAS consolidated statements; CFO normalized from million VND,0.071462,0.471824,0.227229,0.227204,0.187406,1.133997,1.259917,0.664074,statement_verified
