scenario,metric,value,unit,formula,evidence_class,source
Base,marketing_spend,650000000,VND,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Base,new_customers,5000,customers,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Base,aov,110000,VND/order,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Base,orders_per_customer,2.4,orders/customer,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Base,gross_margin,0.55,percent,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Base,fulfillment_per_order,16000,VND/order,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Base,payment_fee_rate,0.03,percent,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Base,return_refund_rate,0.02,percent,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Base,ltv_cac_hurdle,0.3,x,"input",ASSUMPTION,"Illustrative hurdle; replace with company policy"
Base,cac,130000,VND/customer,"marketing_spend/new_customers",DERIVED,"D2C Unit Economics native Sheet / Unit_Economics"
Base,revenue_per_customer,264000,VND/customer,"aov*orders_per_customer",DERIVED,"D2C Unit Economics native Sheet / Unit_Economics"
Base,contribution_per_order,39000,VND/order,"aov*gross_margin-fulfillment-payment-fee-returns",DERIVED,"D2C Unit Economics native Sheet / Unit_Economics"
Base,ltv_contribution,93600,VND/customer,"contribution_per_order*orders_per_customer",DERIVED,"D2C Unit Economics native Sheet / Unit_Economics"
Base,ltv_cac,0.72,x,"ltv_contribution/cac",DERIVED,"D2C Unit Economics native Sheet / Unit_Economics"
Base,payback_orders,3.333333,orders,"cac/contribution_per_order",DERIVED,"D2C Unit Economics native Sheet / Unit_Economics"
Base,annual_revenue,1320000000,VND,"new_customers*revenue_per_customer",DERIVED,"D2C Unit Economics native Sheet / Unit_Economics"
Base,annual_contribution,468000000,VND,"new_customers*ltv_contribution",DERIVED,"D2C Unit Economics native Sheet / Unit_Economics"
Downside,marketing_spend,780000000,VND,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Downside,new_customers,4500,customers,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Downside,aov,105000,VND/order,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Downside,orders_per_customer,2,orders/customer,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Downside,gross_margin,0.52,percent,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Downside,fulfillment_per_order,18000,VND/order,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Downside,payment_fee_rate,0.035,percent,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Downside,return_refund_rate,0.03,percent,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Downside,ltv_cac,0.343558,x,"derived",DERIVED,"D2C Unit Economics native Sheet / Sensitivity"
Upside,marketing_spend,520000000,VND,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Upside,new_customers,6000,customers,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Upside,aov,115000,VND/order,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Upside,orders_per_customer,2.8,orders/customer,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Upside,gross_margin,0.58,percent,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Upside,fulfillment_per_order,15000,VND/order,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Upside,payment_fee_rate,0.025,percent,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Upside,return_refund_rate,0.015,percent,"input",SYNTHETIC,"D2C Unit Economics native Sheet / Assumptions"
Upside,ltv_cac,1.521692,x,"derived",DERIVED,"D2C Unit Economics native Sheet / Sensitivity"
