artifact,section_or_cell,metric_id,expected_source,expected_value_rule,tolerance,evidence_class
FP&A workbook,P&L summary,REV_NET,powerbi/data/final_v1/fact_sales.csv,sum NetRevenueVND by FY2025,VND 1,DERIVED
MBR,scenario table,EBITDA_PROXY,data/scenarios/scenario_summary.csv,match scenario and period,0.01 VND bn,PROXY_DERIVED
CFO memo,executive KPI,EBITDA_PROXY,data/scenarios/scenario_summary.csv,match BASE/FY2025,0.01 VND bn,PROXY_DERIVED
website,scenario selector,REV_NET,data/scenarios/scenario_summary.csv,match selected scenario,0.01 VND bn,PROXY_DERIVED
website,scenario selector,EBITDA_PROXY_MARGIN,data/scenarios/scenario_summary.csv,match selected scenario,0.01 pp,PROXY_DERIVED
MCH analysis,FY2024 ROE,ROE,data/public_company/mch_financial_metrics_approved.csv,match metric_id/fiscal_year,0.01 pp,CALCULATED_PUBLIC
MCH equity research,peer scorecard,ROE,data/public_company/mch_financial_metrics_approved.csv,match metric_id/fiscal_year,0.01 pp,CALCULATED_PUBLIC
MCH credit memo,FY2024 ROE,ROE,data/public_company/mch_financial_metrics_approved.csv,match metric_id/fiscal_year,0.01 pp,CALCULATED_PUBLIC
valuation rehearsal,DCF EV,EV,data/mch_valuation_rehearsal_sensitivity.csv,match case/WACC/growth,0.01 VND bn,SYNTHETIC_REHEARSAL
Monte Carlo,center assumptions,EBITDA_PROXY,data/scenarios/scenario_summary.csv,BASE center only; rehearsal label,0.01 VND bn,SYNTHETIC_REHEARSAL
CV,project bullet,REV_NET,data/scenarios/scenario_summary.csv,no unsupported realized-impact claim,n/a,PROXY_DERIVED
